,Rank,"Player (yrs, age)",Doubles,Bats
415,416.,Gus Bell (15),311,L
416,416.,"Jay Bruce (13, 33)",311,L
417,416.,Marlon Byrd (15),311,R
418,416.,Rafael Furcal (14),311,B
419,416.,Wally Pipp (15),311,L
420,421.,Shano Collins (16),310,R
421,422.,Harlond Clift (12),309,R
422,422.,Earle Combs+ (12),309,L
423,422.,Carl Crawford (15),309,L
424,422.,Mark Loretta (15),309,R
425,426.,"Jose Altuve (10, 30)",308,R
426,426.,George Bell (12),308,R
427,426.,Coco Crisp (15),308,B
428,426.,Dom DiMaggio (11),308,R
429,426.,Heinie Groh (16),308,R
430,426.,Ken Keltner (13),308,R
431,432.,Ron Fairly (21),307,L
432,432.,George Foster (18),307,R
433,432.,Toby Harrah (17),307,R
434,432.,Shoeless Joe Jackson (13),307,L
435,432.,Vern Stephens (15),307,R
436,432.,Nick Swisher (12),307,B
437,432.,Bob Watson (19),307,R
438,439.,Tom Brunansky (14),306,R
439,439.,George Scott (14),306,R
440,439.,Jason Varitek (15),306,B
441,439.,Cy Williams (19),306,L
442,443.,"Paul Goldschmidt (10, 32)",305,R
443,443.,Jose Guillen (14),305,R
444,443.,Lance Parrish (19),305,R
445,443.,Lou Piniella (18),305,R
446,443.,Hardy Richardson (14),305,R
447,448.,Jim Gilliam (14),304,B
448,449.,"Elvis Andrus (12, 31)",303,R
449,449.,Bob Boone (19),303,R
450,449.,"Michael Brantley (12, 33)",303,L
451,449.,Andre Ethier (12),303,L
452,449.,Geoff Jenkins (11),303,L
453,449.,Bid McPhee+ (18),303,R
454,449.,Pinky Whitney (12),303,R
455,456.,Bobby Bonds (14),302,R
456,456.,Ron Gant (16),302,R
457,456.,"Carlos Gonzalez (12, 34)",302,L
458,456.,Don Money (16),302,R
459,456.,Chris Speier (19),302,R
460,456.,Jose Valentin (16),302,B
461,462.,Rich Aurilia (15),301,R
462,462.,Larry Gardner (17),301,L
463,462.,Freddie Lindstrom+ (13),301,R
464,462.,"Carlos Santana (11, 34)",301,B
465,462.,Kip Selbach (13),301,R
466,462.,Dmitri Young (13),301,B
467,468.,Bibb Falk (12),300,L
468,468.,Gregg Jefferies (14),300,B
469,468.,Deacon McGuire (26),300,R
470,468.,Jayson Werth (15),300,R
471,468.,Roy White (15),300,B
472,473.,Wally Berger (11),299,R
473,473.,Pat Burrell (12),299,R
474,473.,"Starlin Castro (11, 30)",299,R
475,473.,Larry Doyle (14),299,L
476,473.,Phil Garner (16),299,R
477,473.,Billy Goodman (16),299,L
478,479.,Jeromy Burnitz (14),298,L
479,479.,Red Kress (14),298,R
480,479.,Tony Pena (18),298,R
481,479.,Tony Taylor (19),298,R
482,483.,Greg Gagne (15),296,R
483,483.,Kevin Millar (12),296,R
484,483.,Rondell White (15),296,R
485,486.,Joe Adcock (17),295,R
486,486.,Pete Browning (13),295,R
487,486.,Bruce Campbell (13),295,L
488,486.,Gil Hodges (18),295,R
489,490.,Bill Mazeroski+ (17),294,R
490,490.,Brian McCann (15),294,L
491,490.,Johnny Ray (10),294,B
492,490.,Matt Stairs (19),294,L
493,490.,Jack Tobin (13),294,L
494,495.,Troy Glaus (13),293,R
495,495.,Bill Russell (18),293,R
496,495.,J.T. Snow (16),293,L
497,495.,Andy Van Slyke (13),293,L
498,499.,Shawon Dunston (18),292,R
499,499.,George Grantham (13),292,L
500,499.,Tommy Holmes (11),292,L
501,499.,Roy Sievers (17),292,R
502,503.,J.J. Hardy (13),291,R
503,503.,Travis Jackson+ (15),291,R
504,503.,Rudy York (13),291,R
505,506.,Hubie Brooks (15),290,R
506,506.,"Matt Carpenter (10, 34)",290,L
507,506.,Harmon Killebrew+ (22),290,R
508,506.,Ted Kluszewski (15),290,L
509,506.,Fred Merkle (16),290,R
510,506.,Vic Power (12),290,R
511,512.,Sal Bando (16),289,R
512,512.,Tommy Corcoran (18),289,R
513,512.,Duffy Lewis (11),289,R
514,512.,Danny Murphy (16),289,R
515,512.,Danny Tartabull (14),289,R
516,512.,Vic Wertz (17),289,L
517,518.,David DeJesus (13),288,L
518,518.,Adam Kennedy (14),288,L
519,518.,Frank Schulte (15),288,L
520,518.,Gus Suhr (11),288,L
521,518.,Chris Young (13),288,R
522,523.,Damion Easley (17),287,R
