,Rank,"Player (yrs, age)",Batters Faced,Throws
970,971.,Hank Wyse (8),5353,R
971,972.,Ed Cushman (6),5352,L
972,973.,Jeremy Bonderman (9),5349,R
973,974.,Al Mamaux (12),5347,R
974,975.,Gavin Floyd (13),5344,R
975,976.,Frank Mountain (7),5343,R
976,977.,Pat Jarvis (8),5341,R
977,978.,Jeremy Hellickson (10),5338,R
978,979.,Al Worthington (14),5331,R
979,980.,Mike Bielecki (14),5329,R
980,980.,Johnny Niggeling (9),5329,R
981,982.,Dontrelle Willis (9),5325,L
982,983.,Fred Beebe (7),5323,R
983,984.,Carl Lundgren (8),5322,R
984,985.,Carlos Silva (9),5319,R
985,986.,Red Barrett (11),5317,R
986,987.,Doug Rau (9),5314,L
987,988.,Chuck Dobson (9),5312,R
988,988.,John Franco (21),5312,L
989,990.,Phil Marchildon (9),5309,R
990,991.,Bud Norris (10),5304,R
991,992.,Red Munger (10),5287,R
992,993.,Ken Chase (8),5283,L
993,994.,Jumbo Elliott (10),5276,L
994,995.,Tom Burgmeier (17),5272,L
995,996.,Bert Gallia (9),5271,R
996,997.,Bill Krueger (13),5257,L
997,998.,John Harkins (5),5247,R
998,999.,Jose Guzman (8),5242,R
