,Rank,"Player (yrs, age)",Triples,Bats
558,556.,Coco Crisp (15),57,B
559,556.,Art Devlin (10),57,R
560,556.,Dom DiMaggio (11),57,R
561,556.,Tony Gonzalez (12),57,L
562,556.,Richie Hebner (18),57,L
563,556.,Benny Kauff (8),57,L
564,556.,Ron LeFlore (9),57,R
565,556.,Tim McCarver (21),57,L
566,556.,Doggie Miller (13),57,R
567,556.,Kirby Puckett+ (12),57,R
568,556.,Paul Radford (12),57,R
569,556.,Bill Russell (18),57,R
570,556.,Manny Sanguillen (13),57,R
571,556.,Reggie Smith (17),57,B
572,556.,Patsy Tebeau (13),57,R
573,574.,Buddy Bell (18),56,R
574,574.,Enos Cabell (15),56,R
575,574.,Dave Cash (12),56,R
576,574.,John Coleman (8),56,L
577,574.,Leo Durocher+ (17),56,R
578,574.,Kid Elberfeld (14),56,R
579,574.,Carl Furillo (15),56,R
580,574.,Marquis Grissom (17),56,R
581,574.,Harvey Kuenn (15),56,R
582,574.,Lyn Lary (12),56,R
583,574.,George Pinkney (10),56,L
584,574.,Terry Puhl (15),56,L
585,574.,Jim Rivera (10),56,L
586,574.,Luke Sewell (20),56,R
587,574.,Jimmy Slagle (10),56,L
588,574.,George Stovall (12),56,R
589,574.,Pinky Whitney (12),56,R
590,574.,Eddie Yost (18),56,R
591,592.,Craig Biggio+ (20),55,R
592,592.,Paul Blair (17),55,R
593,592.,George Browne (12),55,L
594,592.,Royce Clayton (17),55,R
595,592.,Jack Farrell (11),55,R
596,592.,Jim Fogarty (7),55,R
597,592.,Hod Ford (15),55,R
598,592.,Joe Gerhardt (15),55,R
599,592.,Brian Giles (15),55,L
600,592.,Roy Hartzell (11),55,L
601,592.,Cliff Heathcote (15),55,L
602,592.,Julian Javier (13),55,R
603,592.,Billy Jurges (17),55,R
604,592.,Bake McBride (11),55,L
605,592.,Jerry Mumphrey (15),55,B
606,592.,Angel Pagan (11),55,B
607,592.,Freddie Patek (14),55,R
608,592.,Hunter Pence (14),55,R
609,592.,Willie Stargell+ (21),55,L
610,592.,Cesar Tovar (12),55,R
611,592.,Alan Trammell+ (20),55,R
612,592.,Mitch Webster (13),55,B
613,592.,Bernie Williams (16),55,B
614,592.,Taffy Wright (9),55,L
615,616.,Eddie Ainsmith (15),54,R
616,616.,Jack Boyle (13),54,R
617,616.,Alcides Escobar (11),54,R
618,616.,Julio Franco (23),54,R
619,616.,Kirk Gibson (17),54,L
620,616.,"Dee Strange-Gordon (10, 32)",54,L
621,616.,Sammy Hale (10),54,R
622,616.,George Hall (7),54,L
623,616.,Ray Lankford (14),54,L
624,616.,Fred Luderus (12),54,L
625,616.,Lee Magee (9),54,B
626,616.,Mickey Morandini (11),54,L
627,616.,Mike Mowrey (13),54,R
628,616.,Jackie Robinson+ (10),54,R
629,616.,Fred Schulte (11),54,R
630,616.,Socks Seybold (9),54,R
631,616.,Riggs Stephenson (14),54,R
632,616.,George Tebeau (6),54,R
633,616.,Adonis Terry (14),54,R
634,616.,Derrel Thomas (15),54,B
635,616.,Aaron Ward (12),54,R
636,637.,Luis Alicea (13),53,B
637,637.,Bob Allison (13),53,R
638,637.,Joe Carter (16),53,R
639,637.,Fred Dunlap (12),53,R
640,637.,Sid Farrar (8),53,
641,637.,Omar Infante (15),53,R
642,637.,Austin Jackson (9),53,R
643,637.,Freddy Leach (10),53,L
644,637.,Tommy McCarthy+ (13),53,R
645,637.,Gene Moore (14),53,L
646,637.,Jo-Jo Moore (12),53,L
647,637.,Lip Pike (10),53,L
648,637.,Harold Reynolds (12),53,B
649,637.,Dave Roberts (10),53,L
650,637.,Orator Shafer (13),53,L
651,637.,Bill Skowron (14),53,R
652,637.,Jackie Tavener (6),53,L
653,637.,Roy Thomas (13),53,L
654,637.,Farmer Vaughn (13),53,R
655,637.,Harry Wolverton (9),53,B
656,657.,Dave Brain (7),52,R
657,657.,Al Bumbry (14),52,L
658,657.,Doc Casey (10),52,B
659,657.,Sam Chapman (11),52,R
660,657.,Dave Collins (16),52,B
661,657.,Larry Doby+ (13),52,L
662,657.,Woody English (12),52,R
663,657.,Bob Fothergill (12),52,R
664,657.,Nomar Garciaparra (14),52,R
665,657.,Joe Gordon+ (11),52,R
666,657.,Danny Hoffman (9),52,L
667,657.,Jerry Lumpe (12),52,L
668,657.,Manny Mota (20),52,R
669,657.,Jim Piersall (17),52,R
670,657.,Danny Richardson (11),52,R
671,657.,Rudy York (13),52,R
672,673.,Frank Baumholtz (10),51,L
673,673.,Ray Blades (10),51,R
674,673.,Adam Comorosky (10),51,R
675,673.,George Decker (8),51,L
676,673.,Carlos Guillen (14),51,B
677,673.,Odell Hale (10),51,R
678,673.,Pinky Higgins (14),51,R
679,673.,Raul Ibanez (19),51,L
680,673.,John Kerins (7),51,R
681,673.,Gary Matthews (16),51,R
682,673.,Gil McDougald (10),51,R
683,673.,Dusty Miller (7),51,L
684,673.,Gary Redus (13),51,R
685,673.,Lance Richbourg (8),51,L
686,673.,Wilbert Robinson+ (17),51,R
687,673.,Ivan Rodriguez+ (21),51,R
688,673.,Jim Russell (10),51,B
689,673.,Roy White (15),51,B
690,691.,Matty Alou (15),50,L
691,691.,Del Bissonette (5),50,L
692,691.,Jack Burdock (18),50,R
693,691.,Bob Caruthers (10),50,L
694,691.,Lou Criger (16),50,R
695,691.,Pat Duncan (7),50,R
696,691.,Ira Flagstead (13),50,R
697,691.,Lew Fonseca (12),50,R
698,691.,Greg Gagne (15),50,R
699,691.,Ron Gant (16),50,R
700,691.,John Ganzel (7),50,R
