,Rank,"Player (yrs, age)",AB per SO,Bats
529,530.,Dick Harley (7),11.53,L
530,530.,Sonny Jackson (12),11.53,L
531,532.,Rube Oldring (13),11.52,R
532,533.,Eddie Stanky (11),11.50,R
533,534.,Mike Hershberger (11),11.49,R
534,534.,Candy LaChance (12),11.49,B
535,536.,Ralph Garr (13),11.48,L
536,536.,Eddie Miller (14),11.48,R
537,538.,Bruce Benedict (12),11.47,R
538,538.,Roy Johnson (10),11.47,L
539,538.,Harold Reynolds (12),11.47,B
540,541.,Don Blasingame (12),11.46,L
541,542.,Donie Bush (16),11.44,B
542,543.,Dave Philley (18),11.43,B
543,544.,Frank LaPorte (11),11.41,R
544,545.,George Brett+ (21),11.40,L
545,546.,Sam West (16),11.39,L
546,547.,Red Murray (11),11.38,R
547,548.,Beau Bell (7),11.37,R
548,548.,Lenny Green (12),11.37,L
549,550.,Pete Browning (13),11.34,R
550,551.,Fred Luderus (12),11.31,L
551,552.,Johnny Berardino (11),11.30,R
552,553.,Phil Cavarretta (22),11.29,L
553,553.,Gee Walker (15),11.29,R
554,555.,Johnny Hopp (14),11.27,L
555,555.,Minnie Minoso (17),11.27,R
556,557.,Pinky Higgins (14),11.25,R
557,558.,Hal Chase (15),11.24,R
558,558.,Bill Rariden (12),11.24,R
559,558.,Howie Shanks (14),11.24,R
560,561.,Red Kress (14),11.23,R
561,562.,Billy Johnson (9),11.22,R
562,563.,Charley Bassett (9),11.20,R
563,563.,Happy Felsch (6),11.20,R
564,565.,Jody Reed (11),11.19,R
565,566.,Joey Cora (11),11.15,B
566,566.,Leo Durocher+ (17),11.15,R
567,566.,Phil Masi (14),11.15,R
568,566.,Ed Morgan (7),11.15,R
569,566.,Pete Suder (13),11.15,R
570,571.,Roger Bresnahan+ (17),11.12,R
571,571.,Jason Kendall (15),11.12,R
572,571.,Bill Phillips (10),11.12,R
573,574.,Shano Collins (16),11.11,R
574,574.,Johnny Logan (13),11.11,R
575,576.,Jim Delahanty (13),11.09,R
576,576.,Paul Radford (12),11.09,R
577,576.,Maury Wills (14),11.09,B
578,579.,Hank Gowdy (17),11.07,R
579,580.,Amos Strunk (17),11.04,L
580,581.,Jerry Remy (10),11.03,L
581,582.,Al Lopez+ (19),11.00,R
582,582.,Craig Reynolds (15),11.00,L
583,584.,Larry Biittner (14),10.98,L
584,584.,Bill Mazeroski+ (17),10.98,R
585,586.,Bill Russell (18),10.97,R
586,587.,Danny Cater (12),10.96,R
587,588.,Rusty Staub (23),10.95,L
588,589.,Solly Hemus (11),10.91,L
589,590.,Mike Grady (11),10.90,R
590,591.,Ted Williams+ (19),10.87,L
591,592.,Buck Freeman (11),10.85,L
592,593.,Tom Burns (13),10.84,R
593,593.,Lou Piniella (18),10.84,R
594,595.,Joe Cronin+ (20),10.83,R
595,596.,Roger Peckinpaugh (17),10.80,R
596,596.,Dave Robertson (9),10.80,L
597,598.,Frank O'Rourke (14),10.79,R
598,599.,Rick Burleson (13),10.77,R
599,599.,Travis Jackson+ (15),10.77,R
600,599.,Willie Jones (15),10.77,R
601,602.,Ed Abbaticchio (9),10.76,R
602,602.,Cass Michaels (12),10.76,R
603,602.,Brooks Robinson+ (23),10.76,R
604,605.,Jack Rothrock (11),10.74,B
605,606.,Frankie Gustine (12),10.73,R
606,607.,Heinie Wagner (12),10.72,R
607,608.,Ron Northey (12),10.68,L
608,608.,Joe Orsulak (14),10.68,L
609,610.,Ed Konetchy (15),10.64,R
610,611.,Hub Collins (7),10.63,R
611,612.,Denny Doyle (8),10.61,L
612,613.,Charlie Hemphill (11),10.59,L
613,614.,Ted Uhlaender (8),10.58,L
614,615.,Myril Hoag (13),10.56,R
615,616.,Mel Ott+ (22),10.55,L
616,617.,Del Crandall (16),10.54,R
617,618.,Nori Aoki (6),10.53,L
618,619.,Wid Conroy (11),10.52,R
619,620.,Cozy Dolan (9),10.51,L
620,620.,Lonny Frey (14),10.51,L
621,622.,Curt Flood (15),10.44,R
622,622.,Bob Kennedy (16),10.44,R
623,622.,Johnny Mostil (10),10.44,R
624,622.,Bubba Phillips (10),10.44,R
625,626.,Felipe Alou (17),10.40,R
626,627.,Doc Lavan (12),10.35,R
627,628.,Ival Goodman (10),10.34,L
628,629.,Harry Davis (22),10.33,R
629,629.,Jimmy Williams (11),10.33,R
630,631.,Bill Tuttle (11),10.26,R
631,632.,Marty Marion (13),10.25,R
632,633.,Arthur Irwin (13),10.24,L
633,633.,"Andrelton Simmons (9, 30)",10.24,R
634,635.,Bill Bradley (14),10.23,R
635,635.,Milt May (15),10.23,L
636,637.,Bengie Molina (13),10.22,R
637,638.,Alfredo Griffin (18),10.21,B
