,Rank,"Player (yrs, age)",Games Started,Throws
644,645.,Larry Christenson (11),220,R
645,645.,Glendon Rusch (12),220,L
646,645.,Bill Swift (13),220,R
647,648.,Roberto Hernandez (11),219,R
648,648.,Rip Collins (11),219,R
649,648.,Pat Malone (10),219,R
650,648.,Russ Meyer (13),219,R
651,648.,Frank Sullivan (11),219,R
652,648.,Kip Wells (12),219,R
653,654.,Clay Buchholz (13),218,R
654,654.,Ramon Ortiz (12),218,R
655,656.,Tom Brewer (8),217,R
656,656.,Pete Falcone (10),217,L
657,656.,Jeff Francis (11),217,L
658,656.,Barney Pelty (10),217,R
659,656.,Jim Wilson (12),217,R
660,661.,Carl Erskine (12),216,R
661,661.,Dave Foutz (13),216,R
662,661.,Lefty Leifield (12),216,L
663,661.,Jack Lynch (7),216,R
664,661.,Vic Sorrell (10),216,R
665,661.,Lefty Stewart (10),216,L
666,661.,Bill Wegman (11),216,R
667,668.,Steve Hargan (12),215,R
668,668.,Jack Kramer (12),215,R
669,668.,Rodrigo Lopez (11),215,R
670,671.,Bill Bonham (10),214,R
671,671.,Hank Borowy (10),214,R
672,671.,Gene Conley (11),214,R
673,671.,Kyle Kendrick (10),214,R
674,671.,Scott Stratton (8),214,R
675,676.,George Brunet (15),213,L
676,676.,Fred Frankhouse (13),213,R
677,676.,"Dallas Keuchel (9, 32)",213,L
678,679.,John Thomson (10),212,R
679,680.,Hal Brown (14),211,R
680,680.,Orlando Hernandez (9),211,R
681,680.,Phil Hughes (12),211,R
682,680.,Hiroki Kuroda (7),211,R
683,684.,"Chris Archer (8, 31)",210,R
684,684.,Clayton Richard (11),210,L
685,684.,Whit Wyatt (16),210,R
686,687.,Watty Clark (12),209,L
687,687.,Joey Hamilton (10),209,R
688,687.,Syl Johnson (19),209,R
689,687.,Cal McLish (15),209,R
690,691.,Jim Bagby (9),208,R
691,691.,Joe Shaute (13),208,L
692,691.,Stan Williams (14),208,R
693,694.,Oil Can Boyd (10),207,R
694,694.,Ray Fisher (10),207,R
695,694.,Dupee Shaw (6),207,L
696,694.,Jeff Tesreau (7),207,R
697,698.,Glenn Abbott (11),206,R
698,698.,Hardie Henderson (6),206,R
699,698.,Henry Porter (6),206,R
700,701.,Vic Aldridge (9),205,R
701,701.,Frank Foreman (11),205,R
702,701.,Ruben Gomez (10),205,R
