,Rank,"Player (yrs, age)",Win-Loss %,Throws
589,590.,Jim Bibby (12),.5236,R
590,590.,Rube Walberg (15),.5236,L
591,592.,Armando Reynoso (12),.5231,R
592,592.,Billy Rhines (9),.5231,R
593,594.,Red Ames (17),.5229,R
594,594.,Pete Richert (13),.5229,L
595,596.,Tom Gordon (21),.5227,R
596,597.,Roy Face (16),.5226,R
597,597.,Lefty Tyler (12),.5226,L
598,599.,Jay Howell (15),.5225,R
599,599.,Dummy Taylor (9),.5225,R
600,601.,Frank Kitson (10),.5223,R
601,601.,Jack Taylor (10),.5223,R
602,603.,Fred Frankhouse (13),.5222,R
603,604.,Jason Bere (11),.5221,R
604,605.,George Haddock (7),.5220,R
605,606.,Cy Seymour (16),.5214,L
606,607.,Wiley Piatt (6),.5212,L
607,608.,Jon Garland (13),.5211,R
608,608.,Joey Jay (13),.5211,R
609,608.,George Suggs (8),.5211,R
610,611.,Frank Linzy (11),.5210,R
611,611.,Jesse Orosco (24),.5210,L
612,613.,Mario Soto (12),.5208,R
613,614.,Sammy Ellis (7),.5207,R
614,615.,Shawn Estes (13),.5206,L
615,616.,Bill Hallahan (12),.5204,L
616,617.,Jack Dunn (8),.5203,R
617,617.,David Palmer (10),.5203,R
618,619.,John Montefusco (13),.5202,R
619,620.,Dolf Luque (20),.5201,R
620,621.,Doug Brocail (15),.5200,R
621,621.,Joe Niekro (22),.5200,R
622,621.,Chad Qualls (14),.5200,R
623,624.,Flint Rhem (12),.5198,R
624,625.,Bob Klinger (8),.5197,R
625,626.,Jose Guzman (8),.5195,R
626,627.,Juan Berenguer (15),.5194,R
627,627.,Ralph Terry (12),.5194,R
628,629.,Bronson Arroyo (16),.5193,R
629,630.,Kid Madden (5),.5192,L
630,630.,Claude Passeau (13),.5192,R
631,632.,Paul Lindblad (14),.5191,L
632,632.,Al Orth (15),.5191,R
633,632.,Mike Stanton (19),.5191,L
634,635.,Bob Tewksbury (13),.5189,R
635,636.,"Jose Quintana (9, 31)",.5188,L
