,Rank,"Player (yrs, age)",Slugging %,Bats
416,417.,Chili Davis (19),.4513,B
417,418.,Joe Kelley+ (17),.4512,R
418,418.,Al Oliver (18),.4512,L
419,420.,Nate Colbert (10),.4509,R
420,421.,Steve Balboni (11),.4506,R
421,421.,Hugh Duffy+ (17),.4506,R
422,423.,Charlie Maxwell (14),.4505,L
423,424.,Ben Oglivie (16),.4504,L
424,425.,"Starling Marte (9, 31)",.4503,R
425,425.,Zack Wheat+ (19),.4503,L
426,427.,Alvin Davis (9),.4502,L
427,427.,Baby Doll Jacobson (11),.4502,R
428,429.,"Jonathan Schoop (8, 28)",.4501,R
429,430.,Don Mincher (13),.4498,L
430,430.,Wally Westlake (10),.4498,R
431,432.,Pete Reiser (10),.4497,L
432,433.,Benny Kauff (8),.4496,L
433,433.,Ron Northey (12),.4496,L
434,435.,Ruben Sierra (20),.4495,B
435,436.,"Salvador Perez (9, 30)",.4494,R
436,436.,Greg Walker (9),.4494,L
437,438.,Garrett Atkins (8),.4491,R
438,439.,Moose Solters (9),.4490,R
439,440.,Bug Holliday (10),.4489,R
440,440.,Freddie Lindstrom+ (13),.4489,R
441,440.,Mickey Tettleton (14),.4489,B
442,443.,Bibb Falk (12),.4488,L
443,444.,Johnny Moore (10),.4487,L
444,444.,Andy Pafko (17),.4487,R
445,446.,Jeffrey Hammonds (13),.4485,R
446,447.,Jacque Jones (10),.4484,L
447,447.,Lee Stevens (10),.4484,L
448,449.,Marty Cordova (9),.4481,R
449,449.,Pete Incaviglia (12),.4481,R
450,451.,Lucas Duda (10),.4480,L
451,451.,Paul Molitor+ (21),.4480,R
452,453.,"Todd Frazier (10, 34)",.4478,R
453,454.,Jason Kubel (10),.4477,L
454,454.,"Mitch Moreland (11, 34)",.4477,L
455,456.,Troy O'Leary (11),.4476,L
456,456.,Jose Valentin (16),.4476,B
457,458.,Sean Casey (12),.4475,L
458,458.,Gorman Thomas (13),.4475,R
459,460.,Kevin McReynolds (12),.4474,R
460,460.,Cal Ripken Jr.+ (21),.4474,R
461,460.,Nick Swisher (12),.4474,B
462,460.,Bob Watson (19),.4474,R
463,464.,Pedro Alvarez (9),.4473,L
464,464.,"Wil Myers (8, 29)",.4473,R
465,466.,"Shin-Soo Choo (16, 37)",.4472,L
466,466.,Dan Uggla (10),.4472,R
467,468.,Glenn Wright (11),.4469,R
468,469.,Ken Caminiti (15),.4467,B
469,470.,Cap Anson+ (27),.4466,R
470,471.,Mike Marshall (11),.4464,R
471,472.,Howard Johnson (14),.4462,B
472,472.,Mike Lieberthal (14),.4462,R
473,474.,Jesse Burkett+ (16),.4461,L
474,474.,Steve Garvey (19),.4461,R
475,474.,Seth Smith (11),.4461,L
476,477.,Freddy Leach (10),.4460,L
477,478.,Edd Roush+ (18),.4459,L
478,478.,"Carlos Santana (11, 34)",.4459,B
479,480.,Nick Esasky (8),.4458,R
480,480.,George Hendrick (18),.4458,R
481,482.,John Kruk (10),.4457,L
482,483.,Smoky Burgess (18),.4455,L
483,484.,Oyster Burns (11),.4454,R
484,484.,Wally Moon (12),.4454,L
485,484.,Chris Sabo (9),.4454,R
486,487.,Garrett Jones (8),.4453,L
487,488.,Gus Bell (15),.4452,L
488,488.,Jose Cruz (12),.4452,B
489,488.,Doug DeCinces (15),.4452,R
490,488.,Elmer Flick+ (13),.4452,L
491,492.,Cody Ross (12),.4451,R
492,493.,Frank Catalanotto (14),.4448,L
493,493.,Ron Cey (17),.4448,R
494,493.,Ival Goodman (10),.4448,L
495,493.,"Yasmani Grandal (9, 31)",.4448,B
496,497.,Bobby Murcer (17),.4447,L
497,497.,"Pablo Sandoval (13, 33)",.4447,B
498,499.,Rico Brogna (9),.4446,L
499,499.,Jose Vidro (12),.4446,B
500,501.,Barry Larkin+ (19),.4444,R
501,501.,Jimmy Ryan (18),.4444,R
502,503.,Al Martin (11),.4441,L
503,504.,Charley Jones (12),.4440,R
504,505.,Mike Cameron (17),.4438,R
505,506.,Joe Crede (10),.4437,R
506,507.,Mack Jones (10),.4435,L
507,507.,Robin Ventura (16),.4435,L
508,509.,Cesar Cedeno (17),.4432,R
509,509.,Carlos Guillen (14),.4432,B
510,511.,Todd Hundley (14),.4431,B
511,512.,Harvey Hendrick (11),.4430,L
512,512.,Pepper Martin (13),.4430,R
513,512.,Rick Monday (19),.4430,L
514,515.,Roberto Alomar+ (17),.4429,B
515,515.,Jeff Conine (17),.4429,R
516,517.,Travis Fryman (13),.4428,R
517,517.,Andy Van Slyke (13),.4428,L
518,517.,George Watkins (7),.4428,L
519,520.,Wade Boggs+ (18),.4427,L
520,520.,John Romano (10),.4427,R
521,522.,Juan Rivera (12),.4425,R
522,522.,"Kyle Seager (10, 32)",.4425,L
523,522.,David Segui (15),.4425,B
524,525.,Rob Deer (11),.4424,R
