,Rank,"Player (yrs, age)",Base-Out Wins Saved (REW),Throws
773,773.,Vicente Romo (8),3.00,R
774,773.,Ray Starr (7),3.00,R
775,776.,Ramon Hernandez (9),2.99,L
776,776.,Tommy Thomas (12),2.99,R
777,778.,"Jose Leclerc (5, 26)",2.97,R
778,779.,"Alex Cobb (9, 32)",2.96,R
779,779.,Pat Jarvis (8),2.96,R
780,781.,"Nick Vincent (9, 33)",2.93,R
781,782.,Bob Lee (5),2.92,R
782,782.,Gordon Maltzberger (4),2.92,R
783,784.,Doug Brocail (15),2.91,R
784,784.,Butch Wensloff (3),2.91,R
785,786.,"Matt Barnes (7, 30)",2.90,R
786,787.,"Chris Bassitt (6, 31)",2.89,R
787,788.,Keith Atherton (7),2.88,R
788,789.,Rawly Eastwick (8),2.87,R
789,789.,Ray Fisher (10),2.87,R
790,789.,Eric O'Flaherty (12),2.87,L
791,792.,Shawn Kelley (11),2.84,R
792,792.,"Lance McCullers Jr. (5, 26)",2.84,R
793,792.,"Hector Rondon (8, 32)",2.84,R
794,795.,Chad Qualls (14),2.83,R
795,795.,John Whitehead (7),2.83,R
796,797.,Scott Garrelts (10),2.82,R
797,797.,Paul Lindblad (14),2.82,L
798,797.,George Pipgras (11),2.82,R
799,800.,Butch Henry (7),2.81,L
800,800.,Lance McCullers (7),2.81,R
801,800.,Bud Tinning (4),2.81,R
802,803.,"Anibal Sanchez (15, 36)",2.80,R
803,803.,Luis Vizcaino (11),2.80,R
804,803.,Joel Zumaya (5),2.80,R
805,806.,Tim Belcher (14),2.79,R
806,806.,Mark Guthrie (15),2.79,L
807,806.,Joe Page (8),2.79,L
808,809.,Bob Tewksbury (13),2.78,R
809,810.,Clint Brown (15),2.77,R
810,810.,Jeff Fassero (16),2.77,L
811,810.,Kevin Siegrist (5),2.77,L
812,813.,"Reyes Moronta (3, 27)",2.76,R
813,814.,Luis Ayala (9),2.75,R
814,815.,Luis Aloma (4),2.74,R
815,816.,"Aaron Bummer (4, 26)",2.72,L
816,816.,"Matt Shoemaker (8, 33)",2.72,R
817,818.,"Ross Stripling (5, 30)",2.71,R
818,819.,Jared Burton (8),2.70,R
819,819.,"Edwin Diaz (5, 26)",2.70,R
820,819.,Vic Sorrell (10),2.70,R
821,819.,"Julio Urias (5, 23)",2.70,L
822,819.,Mark Wohlers (12),2.70,R
823,824.,Jeff Innis (7),2.68,R
824,824.,Sean Marshall (9),2.68,L
825,826.,Luis Aquino (9),2.67,R
826,826.,Ben Cantwell (11),2.67,R
827,826.,Dock Ellis (12),2.67,R
828,829.,Jarrod Parker (3),2.66,R
829,829.,Fritz Peterson (11),2.66,L
830,829.,Tim Wakefield (19),2.66,R
831,829.,Jordan Walden (6),2.66,R
832,833.,Eddie Fisher (15),2.64,R
833,833.,Casey Janssen (9),2.64,R
834,833.,Roger Moret (9),2.64,L
835,836.,J.P. Howell (12),2.63,L
836,837.,Pedro Borbon (12),2.62,R
837,838.,Todd Burns (6),2.61,R
838,838.,Billy Loes (11),2.61,R
839,838.,Steve Mingori (10),2.61,L
840,841.,Jim Johnson (13),2.60,R
841,842.,"Zack Wheeler (6, 30)",2.59,R
842,843.,"Ryan Buchter (6, 33)",2.58,L
843,843.,"Giovanny Gallegos (4, 28)",2.58,R
844,843.,Sammy Stewart (10),2.58,R
845,846.,John Montefusco (13),2.57,R
846,847.,Al Levine (10),2.56,R
847,847.,Alan Mills (12),2.56,R
848,849.,"Hunter Strickland (7, 31)",2.55,R
849,850.,Alfredo Aceves (7),2.54,R
850,850.,"Andrew Chafin (7, 30)",2.54,L
851,850.,"Alex Claudio (7, 28)",2.54,L
852,850.,Al Demaree (8),2.54,R
853,850.,Fred Gladding (13),2.54,R
854,850.,Gary Lucas (8),2.54,L
855,850.,Mark Portugal (15),2.54,R
856,857.,"Corey Knebel (6, 28)",2.53,R
857,857.,Ad Liska (5),2.53,R
858,857.,"German Marquez (5, 25)",2.53,R
859,860.,Al Fitzmorris (10),2.52,R
860,860.,Ernesto Frieri (8),2.52,R
861,862.,Scott Radinsky (11),2.51,L
862,862.,Ben Weber (6),2.51,R
863,864.,Louis Coleman (7),2.50,R
864,865.,Johnny Beazley (6),2.49,R
865,865.,Brian Holman (4),2.49,R
866,867.,Ned Garver (14),2.48,R
867,867.,"Sean Manaea (5, 28)",2.48,L
868,867.,"Blake Parker (8, 35)",2.48,R
869,870.,Ray Caldwell (12),2.47,R
870,870.,LaTroy Hawkins (21),2.47,R
871,872.,Pol Perritt (10),2.46,R
872,872.,George Sherrill (9),2.46,L
873,872.,Gerry Staley (15),2.46,R
874,872.,Jeff Tam (6),2.46,R
875,876.,Tom Gorman (8),2.45,R
876,876.,"Nate Jones (9, 34)",2.45,R
877,876.,"Caleb Thielbar (4, 33)",2.45,L
878,879.,"Kirby Yates (7, 33)",2.42,R
879,880.,Art Reinhart (5),2.40,L
880,881.,Fernando Rodney (17),2.39,R
881,882.,"Jose Berrios (5, 26)",2.38,R
882,882.,Juan Rincon (10),2.38,R
883,884.,"Archie Bradley (6, 27)",2.37,R
884,884.,Matt Miller (5),2.37,R
885,884.,Guillermo Mota (14),2.37,R
886,887.,Bob Apodaca (5),2.36,R
887,887.,Sam Dyson (8),2.36,R
888,887.,"Emilio Pagan (4, 29)",2.36,R
889,890.,Dan Petry (13),2.35,R
890,890.,Scott Strickland (7),2.35,R
891,890.,Eddie Watt (10),2.35,R
892,890.,Dontrelle Willis (9),2.35,L
893,894.,Joe Hatten (7),2.34,L
894,894.,Mark Littell (9),2.34,R
895,896.,Hi Bell (8),2.33,R
896,896.,Hal Carlson (14),2.33,R
897,896.,Johnny Marcum (7),2.33,R
898,896.,"Craig Stammen (11, 36)",2.33,R
899,900.,Vinnie Pestano (6),2.32,R
900,900.,Alberto Reyes (13),2.32,R
901,902.,"Aaron Loup (9, 32)",2.31,L
902,903.,"Jose Alvarez (8, 31)",2.30,L
903,903.,Matt Capps (8),2.30,R
904,903.,Dennis Cook (15),2.30,L
905,903.,Bryn Smith (13),2.30,R
906,903.,Randy Wolf (16),2.30,L
907,908.,Harry Harper (10),2.28,L
908,909.,"Richard Bleier (5, 33)",2.27,L
909,909.,Oil Can Boyd (10),2.27,R
910,911.,"John Brebbia (3, 30)",2.26,R
911,911.,Rick Helling (12),2.26,R
912,911.,Xavier Hernandez (10),2.26,R
