,Rank,Player (age that year),On-Base%,Year,Bats
452,453.,Billy Hamilton+ (24),.4303,1890,L
453,453.,Babe Ruth+ (34),.4303,1929,L
454,453.,Sam Thompson+ (35),.4303,1895,L
455,456.,Lance Berkman (25),.4302,2001,B
456,457.,Woody English (24),.4301,1930,R
457,457.,Ferris Fain (29),.4301,1950,L
458,457.,John Kruk (32),.4301,1993,L
459,460.,Luke Appling+ (32),.4300,1939,R
460,460.,Albert Pujols (25),.4300,2005,R
461,462.,Wade Boggs+ (31),.4299,1989,L
462,462.,Pete Browning (21),.4299,1882,R
463,464.,Lu Blue (34),.4298,1931,B
464,465.,Manny Ramirez (36),.4297,2008,R
465,466.,Elmer Flick+ (22),.4296,1898,L
466,467.,Jesse Burkett+ (31),.4295,1900,L
467,467.,Tony Lazzeri+ (25),.4295,1929,R
468,467.,Denny Lyons (27),.4295,1893,R
469,467.,Tim Salmon (26),.4295,1995,R
470,471.,Earl Averill+ (36),.4293,1938,L
471,471.,Joe Mauer (23),.4293,2006,L
472,471.,Christian Yelich (27),.4293,2019,L
473,474.,Eddie Joost (33),.4292,1949,R
474,474.,Jackie Robinson+ (32),.4292,1951,R
475,476.,Chili Davis (35),.4291,1995,B
476,476.,Jack Fournier (25),.4291,1915,L
477,476.,Tommy McCarthy+ (29),.4291,1893,R
478,479.,Jimmie Foxx+ (22),.4290,1930,R
479,479.,Tim Raines+ (27),.4290,1987,B
480,479.,Cy Seymour (32),.4290,1905,L
481,479.,Paul Waner+ (31),.4290,1934,L
482,483.,Walton Cruise (31),.4289,1921,L
483,483.,Kevin Mitchell (32),.4289,1994,R
484,485.,Todd Helton (28),.4288,2002,L
485,485.,Ken Williams (31),.4288,1921,L
486,487.,Doc Crandall (26),.4286,1914,R
487,487.,Luis Gonzalez (33),.4286,2001,L
488,487.,Willie Keeler+ (23),.4286,1895,L
489,487.,Edgar Martinez+ (35),.4286,1998,R
490,487.,Albert Pujols (27),.4286,2007,R
491,492.,Jack Fournier (34),.4284,1924,L
492,492.,Stan Musial+ (33),.4284,1954,L
493,492.,Pete Rose (28),.4284,1969,B
494,495.,Ty Cobb+ (32),.4283,1919,L
495,495.,Larry Doby+ (27),.4283,1951,L
496,497.,Kiki Cuyler+ (31),.4282,1930,R
497,498.,Joe Cronin+ (31),.4281,1938,R
498,498.,Charlie Gehringer+ (37),.4281,1940,L
499,498.,Nick Johnson (27),.4281,2006,L
500,498.,Gary Sheffield (29),.4281,1998,R
501,498.,Zack Wheat+ (36),.4281,1924,L
