,Rank,Player (age that year),Bases on Balls,Year,Throws
467,462.,Hardie Henderson (21),116,1884,R
468,462.,Monty Kennedy (24),116,1946,L
469,462.,Clay Kirby (24),116,1972,R
470,462.,Frank Lary (26),116,1956,R
471,462.,Slim Love (27),116,1918,L
472,462.,Jack Lynch (29),116,1886,R
473,462.,Charlie McCullough (24),116,1890,R
474,462.,Lefty Mills (28),116,1938,L
475,462.,Al Milnar (27),116,1941,L
476,462.,Mel Parnell (31),116,1953,L
477,462.,Vic Raschi (31),116,1950,R
478,462.,Rich Robertson (27),116,1996,L
479,462.,Amos Rusie+ (18),116,1889,R
480,462.,Dick Ruthven (23),116,1974,R
481,462.,Nolan Ryan+ (24),116,1971,R
482,462.,Doc Scanlan (29),116,1910,R
483,462.,Harry Staley (22),116,1889,R
484,485.,Steve Barber (29),115,1967,L
485,485.,Tommy Bridges (29),115,1936,R
486,485.,Ron Bryant (25),115,1973,L
487,485.,Harry Byrd (28),115,1953,R
488,485.,Dan Casey (24),115,1887,L
489,485.,Ken Chase (27),115,1941,L
490,485.,Jack Coombs (27),115,1910,R
491,485.,Joe Corbett (21),115,1897,R
492,485.,Hooks Dauss (25),115,1915,R
493,485.,Red Ehret (20),115,1889,R
494,485.,Red Ehret (24),115,1893,R
495,485.,Dick Fowler (28),115,1949,R
496,485.,Hank Gastright (28),115,1893,R
497,485.,Tom Hughes (22),115,1901,R
498,485.,Sam Jones (30),115,1956,R
499,485.,Gene Krapp (27),115,1914,R
500,485.,Roxie Lawson (31),115,1937,R
501,485.,Van Mungo (21),115,1932,R
502,485.,Gaylord Perry+ (34),115,1973,R
503,485.,Duane Pillette (28),115,1951,R
504,485.,Jimmy Ring (28),115,1923,R
505,485.,Red Ruffing+ (27),115,1932,R
506,485.,Herb Score (26),115,1959,L
507,485.,Jack Stivetts (25),115,1893,R
508,485.,Adonis Terry (21),115,1886,R
509,485.,John Thornton (22),115,1891,R
510,485.,Mike Torrez (26),115,1973,R
511,485.,Bucky Walters (27),115,1936,R
512,485.,Carlos Zambrano (25),115,2006,R
