,Rank,Player (age that year),Putouts as P,Year,Throws
396,357.,Carl Morton (29),26,1973,R
397,357.,Tony Mullane (33),26,1892,R
398,357.,George Mullin (21),26,1902,R
399,357.,Phil Niekro+ (33),26,1972,R
400,357.,Milt Pappas (24),26,1963,R
401,357.,Gaylord Perry+ (35),26,1974,R
402,357.,J.R. Richard (27),26,1977,R
403,357.,Robin Roberts+ (25),26,1952,R
404,357.,Robin Roberts+ (30),26,1957,R
405,357.,Kenny Rogers (43),26,2008,L
406,357.,Steve Rogers (26),26,1976,R
407,357.,Tom Seaver+ (28),26,1973,R
408,357.,Frank Smith (29),26,1909,R
409,357.,John Smoltz+ (23),26,1990,R
410,357.,Gerry Staley (33),26,1954,R
411,357.,Dave Stewart (31),26,1988,R
412,357.,Scott Stratton (18),26,1888,R
413,357.,Kevin Tapani (27),26,1991,R
414,357.,Yordano Ventura (23),26,2014,R
415,357.,John Ward+ (21),26,1881,R
416,357.,Bob Welch (32),26,1989,R
417,357.,Earl Wilson (32),26,1967,R
418,357.,Earl Wilson (33),26,1968,R
419,420.,Glenn Abbott (29),25,1980,R
420,420.,Chief Bender+ (22),25,1906,R
421,420.,Nick Blackburn (27),25,2009,R
422,420.,George Blaeholder (27),25,1931,R
423,420.,Tommy Bond (20),25,1876,R
424,420.,George Bradley (24),25,1877,R
425,420.,Bob Bruce (32),25,1965,R
426,420.,John Butcher (27),25,1984,R
427,420.,Bob Caruthers (22),25,1886,R
428,420.,Spud Chandler (34),25,1942,R
429,420.,Jim Clancy (31),25,1987,R
430,420.,George Derby (23),25,1881,R
431,420.,Bill Dinneen (24),25,1900,R
432,420.,Bill Donovan (26),25,1903,R
433,420.,Doug Drabek (27),25,1990,R
434,420.,Dick Drago (24),25,1969,R
435,420.,Dave Ferriss (24),25,1946,R
436,420.,Whitey Ford+ (33),25,1962,L
437,420.,Bob Forsch (29),25,1979,R
438,420.,Jon Garland (28),25,2008,R
439,420.,George Gill (30),25,1939,R
440,420.,Dwight Gooden (20),25,1985,R
441,420.,Tom Gordon (27),25,1995,R
442,420.,Mudcat Grant (24),25,1960,R
443,420.,Mudcat Grant (25),25,1961,R
444,420.,Burleigh Grimes+ (30),25,1924,R
445,420.,Kevin Gross (25),25,1986,R
446,420.,Roy Halladay+ (29),25,2006,R
447,420.,Erik Hanson (28),25,1993,R
448,420.,Otto Hess (27),25,1906,L
449,420.,Joe Horlen (28),25,1966,R
450,420.,Charlie Hough (35),25,1983,R
451,420.,Catfish Hunter+ (28),25,1974,R
452,420.,Fergie Jenkins+ (36),25,1979,R
453,420.,Josh Johnson (28),25,2012,R
454,420.,Matt Kilroy (23),25,1889,L
455,420.,Matt Kilroy (24),25,1890,L
456,420.,Mike Leake (24),25,2012,R
457,420.,Dave Lemanczyk (26),25,1977,R
458,420.,Greg Maddux+ (34),25,2000,R
459,420.,Juan Marichal+ (32),25,1970,R
460,420.,Juan Marichal+ (35),25,1973,R
461,420.,Carlos Martinez (24),25,2016,R
462,420.,Al Maul (24),25,1890,R
