,Rank,Player (age that year),Putouts as RF (s.1901),Year,Throws
457,453.,Matt Kemp (30),269,2015,R
458,453.,Bill Nicholson (30),269,1945,R
459,453.,Dick Porter (30),269,1932,R
460,453.,Larry Walker+ (25),269,1992,R
461,453.,Chief Wilson (27),269,1911,R
462,463.,Bobby Bonds (33),268,1979,R
463,463.,Jose Guillen (31),268,2007,R
464,463.,Jackie Jensen (25),268,1952,R
465,463.,Felix Jose (26),268,1991,R
466,463.,Wally Moses (27),268,1938,L
467,463.,Mel Ott+ (26),268,1935,R
468,463.,Mitch Webster (28),268,1987,L
469,470.,Hubie Brooks (31),267,1988,R
470,470.,Shin-Soo Choo (27),267,2010,L
471,470.,Adam Eaton (30),267,2019,L
472,470.,Dwight Evans (28),267,1980,R
473,470.,Von Hayes (23),267,1982,R
474,470.,Mark Kotsay (24),267,2000,L
475,470.,Manny Ramirez (27),267,1999,R
476,470.,Cory Snyder (24),267,1987,R
477,478.,Hank Aaron+ (29),266,1963,R
478,478.,Bobby Abreu (31),266,2005,R
479,478.,Lou Brock+ (24),266,1963,L
480,478.,Ollie Brown (27),266,1971,R
481,478.,Jay Buhner (28),266,1993,R
482,478.,Rocky Colavito (23),266,1957,R
483,478.,Jermaine Dye (34),266,2008,R
484,478.,Dan Ford (24),266,1976,R
485,478.,Ken Griffey (26),266,1976,L
486,478.,Ken Griffey (28),266,1978,L
487,478.,Jeremy Hermida (24),266,2008,R
488,478.,Tommy Holmes (31),266,1948,L
489,478.,Harry Hooper+ (28),266,1916,R
490,478.,Jim Lemon (28),266,1956,R
491,478.,Hosken Powell (25),266,1980,L
492,478.,Dave Robertson (27),266,1917,L
493,478.,Darryl Strawberry (28),266,1990,L
494,495.,Kevin Bass (29),265,1988,R
495,495.,Danny Bautista (32),265,2004,R
496,495.,Jay Bruce (29),265,2016,L
497,495.,Tom Brunansky (30),265,1991,R
498,495.,Frank Demaree (27),265,1937,R
499,495.,Kosuke Fukudome (34),265,2011,R
