,Rank,Player (age that year),Stolen Bases,Year,Bats
247,241.,Dummy Hoy (29),59,1891,L
248,241.,Davey Lopes (29),59,1974,R
249,241.,Billy Maloney (27),59,1905,L
250,241.,Otis Nixon (38),59,1997,B
251,241.,George Pinkney (28),59,1887,L
252,241.,Scott Podsednik (29),59,2005,L
253,241.,Curt Welch (24),59,1886,R
254,241.,Perry Werden (28),59,1890,R
255,241.,Willie Wilson (27),59,1983,B
256,241.,Willie Wilson (31),59,1987,B
257,258.,Oyster Burns (22),58,1887,R
258,258.,Max Carey+ (28),58,1918,B
259,258.,Chuck Carr (25),58,1993,B
260,258.,Cesar Cedeno (25),58,1976,R
261,258.,Eddie Collins+ (27),58,1914,L
262,258.,Carl Crawford (24),58,2006,L
263,258.,Ed Delahanty+ (30),58,1898,R
264,258.,Jim Fogarty (24),58,1888,R
265,258.,Dee Strange-Gordon (27),58,2015,L
266,258.,Billy Hamilton (25),58,2016,B
267,258.,Rickey Henderson+ (32),58,1991,R
268,258.,Ron LeFlore (28),58,1976,R
269,258.,Jim Manning (27),58,1889,B
270,258.,Clyde Milan (24),58,1911,L
271,258.,Joe Morgan+ (28),58,1972,L
272,258.,Joe Morgan+ (30),58,1974,L
273,258.,Bill North (31),58,1979,B
274,258.,Juan Pierre (28),58,2006,L
275,258.,Frank Taveras (26),58,1976,R
276,258.,Mookie Wilson (26),58,1982,B
277,258.,Tony Womack (28),58,1998,L
278,279.,Ed Andrews (28),57,1887,R
279,279.,Luis Aparicio+ (30),57,1964,R
280,279.,Cesar Cedeno (23),57,1974,R
281,279.,Frank Chance+ (29),57,1906,R
282,279.,Jack Crooks (24),57,1890,R
283,279.,Julio Cruz (28),57,1983,B
284,279.,Jack Glasscock (31),57,1889,R
285,279.,Billy Hamilton+ (26),57,1892,L
286,279.,Billy Hamilton (24),57,2015,B
287,279.,Arlie Latham (33),57,1893,R
288,279.,Herman Long (26),57,1892,L
289,279.,Tommy McCarthy+ (25),57,1889,R
290,279.,Red Murray (26),57,1910,R
291,279.,Hap Myers (26),57,1913,R
292,279.,Darby O'Brien (28),57,1892,R
293,279.,Fred Pfeffer (27),57,1887,R
294,279.,Juan Pierre (27),57,2005,L
295,279.,Frank Scheibeck (25),57,1890,R
296,279.,Ozzie Smith+ (25),57,1980,B
297,279.,Ozzie Smith+ (33),57,1988,B
298,279.,Jake Stenzel (29),57,1896,R
299,279.,Harry Stovey (34),57,1891,R
300,279.,Bobby Tolan (24),57,1970,L
301,279.,Honus Wagner+ (31),57,1905,R
302,279.,John Ward+ (31),57,1891,L
303,304.,Jose Altuve (24),56,2014,R
304,304.,Ed Andrews (27),56,1886,R
305,304.,Luis Aparicio+ (25),56,1959,R
306,304.,Lou Brock+ (36),56,1975,L
307,304.,Lou Brock+ (37),56,1976,L
308,304.,Jim Burns,56,1889,R
309,304.,Cesar Cedeno (22),56,1973,R
