,Rank,Player (age that year),AB per HR,Year,Bats
323,324.,Ernie Banks+ (24),13.55,1955,R
324,324.,Bob Cerv (33),13.55,1958,R
325,326.,Mike Piazza+ (26),13.56,1995,R
326,327.,Carlos Delgado (31),13.57,2003,L
327,328.,Hank Aaron+ (36),13.58,1970,R
328,328.,Jose Bautista (34),13.58,2015,R
329,328.,Adam Dunn (25),13.58,2005,L
330,328.,Juan Gonzalez (22),13.58,1992,R
331,332.,Eric Davis (27),13.59,1989,R
332,332.,Frank Howard (31),13.59,1968,R
333,332.,Reggie Jackson+ (36),13.59,1982,L
334,332.,Phil Plantier (24),13.59,1993,L
335,336.,Fred Lynn (27),13.62,1979,L
336,336.,Roy Sievers (30),13.62,1957,R
337,338.,Darryl Strawberry (25),13.64,1987,L
338,339.,Ken Caminiti (33),13.65,1996,B
339,340.,Jason Giambi (31),13.66,2002,L
340,340.,Sammy Sosa (35),13.66,2004,R
341,342.,Dick Allen (30),13.68,1972,R
342,342.,Jason Giambi (30),13.68,2001,L
343,344.,Dick Allen (27),13.69,1969,R
344,344.,Mookie Betts (27),13.69,2020,R
345,344.,Ryan Howard (29),13.69,2009,L
346,347.,Hank Aaron+ (32),13.70,1966,R
347,347.,Chris Carter (27),13.70,2014,R
348,347.,Nelson Cruz (35),13.70,2016,R
349,350.,Larry Walker+ (28),13.72,1995,L
350,351.,Gabby Hartnett+ (29),13.73,1930,R
351,351.,Paul Konerko (28),13.73,2004,R
352,353.,Albert Pujols (23),13.74,2003,R
353,354.,Lance Berkman (26),13.76,2002,B
354,355.,Gus Zernial (32),13.77,1955,R
355,356.,Andruw Jones (29),13.78,2006,R
356,356.,Willie Mays+ (23),13.78,1954,R
357,358.,Carlos Delgado (34),13.79,2006,L
358,358.,Gil Hodges (30),13.79,1954,R
359,358.,Brandon Lowe (25),13.79,2020,L
360,361.,Adrian Gonzalez (27),13.80,2009,L
361,362.,Ernie Banks+ (26),13.81,1957,R
362,362.,Todd Helton (26),13.81,2000,L
363,364.,Jose Canseco (29),13.84,1994,R
364,365.,Carlos Gonzalez (29),13.85,2015,L
365,365.,Willie McCovey+ (27),13.85,1965,L
366,367.,Curtis Granderson (31),13.86,2012,L
367,367.,Shawn Green (29),13.86,2002,L
368,369.,Carlos Delgado (28),13.88,2000,L
369,369.,Ralph Kiner+ (25),13.88,1948,R
370,371.,Jim Lemon (32),13.89,1960,R
371,372.,Russell Branyan (33),13.90,2009,L
372,372.,Todd Hundley (28),13.90,1997,B
373,372.,Mike Piazza+ (28),13.90,1997,R
374,375.,Barry Bonds (27),13.91,1992,L
375,375.,Max Muncy (28),13.91,2019,L
376,377.,Kyle Schwarber (26),13.92,2019,L
377,377.,Darryl Strawberry (26),13.92,1988,L
378,379.,Al Rosen (29),13.93,1953,R
379,380.,Roy Campanella+ (33),13.94,1955,R
380,380.,Dave Kingman (26),13.94,1975,R
381,380.,Mickey Mantle+ (25),13.94,1957,B
382,380.,Willie McCovey+ (28),13.94,1966,L
383,384.,Carlos Delgado (26),13.95,1998,L
384,384.,Ralph Kiner+ (29),13.95,1952,R
385,386.,Mickey Mantle+ (23),13.97,1955,B
386,386.,Mike Piazza+ (32),13.97,2001,R
387,386.,Matt Stairs (31),13.97,1999,L
388,389.,Hank Aaron+ (23),13.98,1957,R
389,389.,Hank Greenberg+ (29),13.98,1940,R
390,389.,Albert Pujols (30),13.98,2010,R
391,392.,Rocky Colavito (25),14.00,1959,R
392,392.,Nelson Cruz (28),14.00,2009,R
393,392.,Manny Machado (27),14.00,2020,R
394,392.,Johnny Mize+ (35),14.00,1948,L
395,396.,Vinny Castilla (30),14.02,1998,R
396,396.,Mike Trout (23),14.02,2015,R
397,398.,Nelson Cruz (37),14.03,2018,R
398,398.,Adam Dunn (26),14.03,2006,L
399,398.,Edwin Encarnacion (31),14.03,2014,R
400,398.,Ken Griffey Jr.+ (35),14.03,2005,L
401,398.,Kent Hrbek (27),14.03,1987,L
402,398.,Rudy York (24),14.03,1938,R
403,404.,Paul Konerko (34),14.05,2010,R
404,404.,Eddie Mathews+ (28),14.05,1960,L
405,404.,Duke Snider+ (26),14.05,1953,L
406,407.,Jesus Aguilar (28),14.06,2018,R
407,408.,Alfonso Soriano (30),14.07,2006,R
408,409.,Roy Campanella+ (28),14.10,1950,R
409,409.,Luke Easter (36),14.10,1952,L
410,409.,Roy Sievers (31),14.10,1958,R
411,409.,Mo Vaughn (27),14.10,1995,L
412,413.,Jeff Burroughs (26),14.12,1977,R
413,413.,Rob Deer (25),14.12,1986,R
414,415.,Norm Cash (37),14.13,1971,L
415,415.,David Ortiz (40),14.13,2016,L
416,415.,Corey Seager (26),14.13,2020,L
417,415.,Gorman Thomas (27),14.13,1978,R
418,419.,Miguel Cabrera (29),14.14,2012,R
419,419.,Ron Gant (30),14.14,1995,R
420,421.,Jeromy Burnitz (30),14.15,1999,L
421,421.,Carl Yastrzemski+ (30),14.15,1970,L
422,423.,Albert Pujols (28),14.16,2008,R
423,424.,Lou Gehrig+ (27),14.17,1930,L
424,425.,Cecil Fielder (27),14.18,1991,R
425,425.,Lee May (28),14.18,1971,R
426,427.,David Ortiz (28),14.20,2004,L
427,428.,Troy Glaus (29),14.21,2006,R
428,428.,Greg Luzinski (26),14.21,1977,R
429,428.,Rafael Palmeiro (30),14.21,1995,L
430,431.,Curtis Granderson (30),14.22,2011,L
431,431.,Willie Horton (25),14.22,1968,R
432,433.,Josh Bell (26),14.24,2019,B
433,434.,Ted Kluszewski (28),14.25,1953,L
434,435.,Nelson Cruz (36),14.26,2017,R
435,435.,Harmon Killebrew+ (24),14.26,1960,R
436,437.,Jimmie Foxx+ (28),14.27,1936,R
437,437.,David Ortiz (39),14.27,2015,L
438,437.,Gary Sanchez (24),14.27,2017,R
439,440.,Andy Pafko (29),14.28,1950,R
440,441.,Willie Mays+ (30),14.30,1961,R
441,442.,Carlos Delgado (32),14.31,2004,L
442,442.,Edwin Encarnacion (33),14.31,2016,R
443,442.,Jimmie Foxx+ (32),14.31,1940,R
444,442.,Jason Giambi (37),14.31,2008,L
445,442.,Miguel Sano (27),14.31,2020,R
446,442.,Richie Sexson (30),14.31,2005,R
447,442.,Gary Sheffield (32),14.31,2001,R
448,449.,Mike Schmidt+ (27),14.32,1977,R
449,450.,Chuck Klein+ (24),14.33,1929,L
450,451.,Hank Aaron+ (29),14.34,1963,R
451,451.,Nolan Arenado (28),14.34,2019,R
452,451.,Troy Glaus (24),14.34,2001,R
453,451.,Mark Teixeira (24),14.34,2004,B
454,455.,Kirk Gibson (37),14.35,1994,L
455,456.,Adam Dunn (29),14.37,2009,L
456,456.,Gleyber Torres (22),14.37,2019,R
457,458.,Paul Konerko (29),14.38,2005,R
458,458.,Javy Lopez (27),14.38,1998,R
459,460.,Rafael Palmeiro (33),14.40,1998,L
460,461.,Juan Gonzalez (29),14.41,1999,R
461,461.,Matt Nokes (23),14.41,1987,L
462,461.,Boog Powell (27),14.41,1969,L
463,461.,Albert Pujols (25),14.41,2005,R
464,465.,Miguel Cabrera (27),14.42,2010,R
465,465.,Frank Howard (30),14.42,1967,R
466,467.,Mark Reynolds (27),14.43,2011,R
467,467.,Mo Vaughn (28),14.43,1996,L
468,469.,Dick Allen (32),14.44,1974,R
469,469.,Ben Oglivie (31),14.44,1980,L
470,469.,Boog Powell (24),14.44,1966,L
471,472.,Chris Hoiles (28),14.45,1993,R
472,472.,David Ortiz (27),14.45,2003,L
473,474.,Dave Kingman (33),14.46,1982,R
474,475.,Dante Bichette (31),14.48,1995,R
475,475.,Mike Piazza+ (33),14.48,2002,R
476,477.,Rafael Palmeiro (35),14.49,2000,L
477,478.,Ted Williams+ (23),14.50,1942,L
478,479.,Darrell Evans (26),14.51,1973,L
479,480.,Jose Canseco (23),14.52,1988,R
