,Rank,Player (age that year),Wins Above Replacement,Year,Bats/Throws
419,414.,Gary Carter+ (28),8.6,1982,R
420,414.,Will Clark (25),8.6,1989,L
421,414.,Curt Davis (30),8.6,1934,R
422,414.,Jimmie Foxx+ (26),8.6,1934,R
423,414.,Tony Gwynn+ (27),8.6,1987,L
424,414.,Roy Halladay+ (34),8.6,2011,R
425,414.,Pat Hentgen (27),8.6,1996,R
426,414.,Randy Johnson+ (31),8.6,1995,R
427,414.,Randy Johnson+ (35),8.6,1999,R
428,414.,Clayton Kershaw (25),8.6,2013,L
429,414.,Silver King (21),8.6,1889,R
430,414.,Sandy Koufax+ (29),8.6,1965,R
431,414.,Nap Lajoie+ (29),8.6,1904,R
432,414.,Mickey Lolich (30),8.6,1971,B
433,414.,Joe Morgan+ (30),8.6,1974,L
434,414.,Camilo Pascual (25),8.6,1959,R
435,414.,Robin Roberts+ (25),8.6,1952,B
436,414.,Babe Ruth+ (22),8.6,1917,L
437,414.,Johnny Sain (30),8.6,1948,R
438,414.,Ryne Sandberg+ (24),8.6,1984,R
439,414.,Duke Snider+ (28),8.6,1955,L
440,414.,Tris Speaker+ (28),8.6,1916,L
441,414.,Tris Speaker+ (32),8.6,1920,L
442,414.,Snuffy Stirnweiss (25),8.6,1944,R
443,414.,Justin Verlander (28),8.6,2011,R
444,414.,Vic Willis+ (25),8.6,1901,R
445,414.,Ben Zobrist (28),8.6,2009,B
446,447.,Hank Aaron+ (28),8.5,1962,R
447,447.,Hank Aaron+ (33),8.5,1967,R
448,447.,Vida Blue (21),8.5,1971,B
449,447.,Harry Brecheen (33),8.5,1948,L
450,447.,Bob Caruthers (25),8.5,1889,L
451,447.,Joe Cronin+ (23),8.5,1930,R
452,447.,Nig Cuppy (25),8.5,1895,R
453,447.,Charlie Gehringer+ (32),8.5,1935,L
454,447.,Vean Gregg (26),8.5,1911,R
455,447.,Frank Killen (22),8.5,1893,L
456,447.,Mark Langston (32),8.5,1993,R
457,447.,Joe Medwick+ (25),8.5,1937,R
458,447.,Ed Morris (21),8.5,1884,B
459,447.,Phil Niekro+ (38),8.5,1977,R
460,447.,Gaylord Perry+ (35),8.5,1974,R
461,447.,Albert Pujols (24),8.5,2004,R
462,447.,Albert Pujols (26),8.5,2006,R
463,447.,Old Hoss Radbourn+ (30),8.5,1885,R
464,447.,Alex Rodriguez (22),8.5,1998,R
465,447.,Babe Ruth+ (37),8.5,1932,L
466,447.,Ben Sanders (23),8.5,1888,R
467,447.,Curt Schilling (34),8.5,2001,R
468,447.,Curt Schilling (35),8.5,2002,R
469,447.,Urban Shocker (30),8.5,1921,R
470,447.,Tris Speaker+ (25),8.5,1913,L
471,447.,Willie Wilson (24),8.5,1980,B
472,447.,Cy Young+ (27),8.5,1894,R
473,474.,Wade Boggs+ (31),8.4,1989,L
474,474.,Robinson Cano (29),8.4,2012,L
475,474.,Larry Dierker (22),8.4,1969,R
476,474.,Joe DiMaggio+ (24),8.4,1939,R
477,474.,George Foster (28),8.4,1977,R
478,474.,Burleigh Grimes+ (26),8.4,1920,R
479,474.,Al Kaline+ (26),8.4,1961,R
