,Rank,Player (age that year),On-Base Plus Slugging,Year,Bats
53,54.,Mickey Mantle+ (29),1.1348,1961,B
54,55.,Carlos Delgado (28),1.1341,2000,L
55,56.,Ted Williams+ (28),1.1330,1947,L
56,57.,Babe Herman (27),1.1322,1930,L
57,58.,Al Simmons+ (28),1.1301,1930,R
58,59.,Rogers Hornsby+ (32),1.1300,1928,R
59,60.,Babe Ruth+ (34),1.1277,1929,L
60,61.,Barry Bonds (35),1.1274,2000,L
61,62.,Jason Giambi (29),1.1230,2000,L
62,62.,Chuck Klein+ (25),1.1230,1930,L
63,64.,Jim Thome+ (31),1.1224,2002,L
64,65.,Hank Greenberg+ (27),1.1215,1938,R
65,66.,Mark McGwire (35),1.1203,1999,R
66,67.,Joe DiMaggio+ (24),1.1189,1939,R
67,68.,George Brett+ (27),1.1181,1980,L
68,69.,Ed Delahanty+ (27),1.1167,1895,R
69,70.,Luis Gonzalez (33),1.1166,2001,L
70,71.,Todd Helton (27),1.1165,2001,L
71,72.,Lou Gehrig+ (34),1.1161,1937,L
