,Rank,Player (age that year),Walks & Hits per IP,Year,Throws
456,457.,Stump Weidman (20),1.0435,1881,R
457,458.,Rudy May (35),1.0437,1980,L
458,459.,Eddie Plank+ (33),1.0440,1909,L
459,459.,Pat Ragan (32),1.0440,1916,R
460,461.,Mickey Hughes (21),1.0441,1888,R
461,462.,Marco Estrada (31),1.0442,2015,R
462,462.,Eddie Plank+ (29),1.0442,1905,L
463,464.,Jake Peavy (24),1.0443,2005,R
464,465.,Christy Mathewson+ (23),1.0444,1904,R
465,466.,Jumbo McGinnis (31),1.0446,1885,
466,467.,Bobby Mathews (32),1.0449,1884,R
467,467.,Bob Wicker (28),1.0449,1905,R
468,469.,Randy Johnson+ (31),1.0451,1995,L
469,469.,Fernando Valenzuela (20),1.0451,1981,L
470,469.,David Wells (35),1.0451,1998,L
471,472.,Ed Daily (22),1.0455,1885,R
472,473.,Randy Jones (25),1.0456,1975,L
473,474.,Curt Schilling (30),1.0459,1997,R
474,475.,Babe Ruth+ (23),1.0461,1918,L
475,476.,Stump Weidman (21),1.0462,1882,R
476,477.,Fred Toney (26),1.0464,1915,R
477,478.,Dick Burns (20),1.0465,1884,L
478,479.,Roger Clemens (28),1.0467,1991,R
479,480.,Frank Smith (30),1.0468,1910,R
480,481.,Juan Marichal+ (30),1.0471,1968,R
481,482.,Tim Lincecum (25),1.0473,2009,R
482,482.,Ed Summers (24),1.0473,1909,R
483,484.,Tex Hughson (28),1.0475,1944,R
484,485.,Curt Schilling (36),1.0476,2003,R
485,486.,Bobby Shantz (26),1.0477,1952,L
486,486.,Cy Young+ (35),1.0477,1902,R
487,488.,Harry Howell (27),1.0478,1904,R
488,488.,Allan Sothoron (25),1.0478,1918,R
489,490.,Mike Norris (25),1.0481,1980,R
490,491.,Greg Maddux+ (27),1.0487,1993,R
491,492.,Nick Altrock (27),1.0489,1904,L
492,493.,Fergie Jenkins+ (28),1.0492,1971,R
493,493.,Jim McCormick (27),1.0492,1884,R
494,493.,Stephen Strasburg (24),1.0492,2013,R
495,496.,Jim Nash (23),1.0496,1968,R
496,497.,Patrick Corbin (28),1.0500,2018,L
497,498.,Hisashi Iwakuma (33),1.0503,2014,R
498,499.,Jocko Flynn (22),1.0506,1886,R
499,500.,Harry Salisbury (27),1.0507,1882,
500,500.,Adam Wainwright (28),1.0507,2010,R
