,Rank,Player (age that year),Range Factor/Game as CF (s.1901),Year,Throws
368,369.,Darin Erstad (27),2.795,2001,L
369,369.,Dode Paskert (28),2.795,1910,R
370,369.,Hack Wilson+ (27),2.795,1927,R
371,372.,Tommy Leach (32),2.794,1910,R
372,373.,Willie Mays+ (26),2.793,1957,R
373,373.,Bobby Tolan (23),2.793,1969,L
374,373.,Devon White (30),2.793,1993,R
375,376.,Jim Edmonds (27),2.791,1997,L
376,377.,Wally Berger (30),2.790,1936,R
377,377.,Mickey Mantle+ (21),2.790,1953,R
378,379.,Lloyd Moseby (23),2.789,1983,R
379,379.,Danny Taylor (32),2.789,1933,R
380,379.,Mike Trout (23),2.789,2015,R
381,382.,Milt Cuyler (22),2.788,1991,R
382,382.,Larry Doby+ (32),2.788,1956,R
383,384.,Ethan Allen (24),2.787,1928,R
384,384.,Fred Brickell (24),2.787,1931,R
385,384.,Ichiro Suzuki (33),2.787,2007,R
386,387.,Brady Clark (32),2.786,2005,R
387,387.,Willy Taveras (27),2.786,2009,R
388,389.,Bill Bruton (36),2.785,1962,R
389,389.,Fred Lynn (26),2.785,1978,L
390,389.,Rick Miller (30),2.785,1978,L
391,389.,Bobby Tolan (26),2.785,1972,L
392,393.,Ray Powell (28),2.784,1917,R
393,394.,Andruw Jones (23),2.783,2000,R
394,394.,Gorman Thomas (31),2.783,1982,R
395,394.,Johnny Wyrostek (26),2.783,1946,R
396,397.,Ty Cobb+ (24),2.781,1911,R
397,397.,Johnny Grubb (25),2.781,1974,R
398,397.,Ruppert Jones (27),2.781,1982,L
399,397.,Mookie Wilson (28),2.781,1984,R
400,401.,Carlos Gomez (27),2.779,2013,R
401,401.,Robin Yount+ (30),2.779,1986,R
402,403.,Larry Doby+ (30),2.778,1954,R
403,404.,Lance Johnson (27),2.777,1991,L
404,405.,Mike Cameron (36),2.776,2009,R
405,405.,Otis Nixon (37),2.776,1996,R
406,405.,Mookie Wilson (26),2.776,1982,R
407,408.,Sam Jethroe (35),2.775,1952,R
408,409.,Pete Reiser (22),2.774,1941,R
409,410.,Max Carey+ (30),2.773,1920,R
410,411.,Stan Javier (31),2.772,1995,R
411,411.,Jerry Mumphrey (29),2.772,1982,R
412,413.,Max Carey+ (36),2.771,1926,R
413,413.,Mule Haas (26),2.771,1930,R
414,413.,George Wright (23),2.771,1982,R
415,416.,Rick Manning (25),2.770,1980,R
416,417.,Ty Cobb+ (30),2.769,1917,R
417,418.,Johnny Mostil (26),2.766,1922,R
418,418.,Edd Roush+ (28),2.766,1921,L
419,420.,Aaron Hicks (23),2.765,2013,R
420,420.,Dwayne Murphy (24),2.765,1979,R
421,420.,Bobby Thomson (26),2.765,1950,R
422,423.,Dain Clay (26),2.764,1946,R
423,423.,Mike Devereaux (28),2.764,1991,R
424,423.,Curtis Granderson (26),2.764,2007,R
425,423.,Ben Revere (23),2.764,2011,R
426,427.,Willie Mays+ (24),2.763,1955,R
427,427.,Willie Mays+ (25),2.763,1956,R
428,427.,Mickey Stanley (30),2.763,1973,R
429,430.,Sam West (27),2.762,1932,L
430,431.,Lorenzo Cain (27),2.761,2013,R
431,431.,Terry Moore (23),2.761,1935,R
432,433.,Paul Blair (25),2.760,1969,R
433,433.,Denard Span (28),2.760,2012,L
434,435.,Earl Averill+ (30),2.758,1932,R
435,435.,George Hendrick (24),2.758,1974,R
436,437.,Brett Butler (32),2.757,1989,L
437,437.,Wally Moses (25),2.757,1936,L
438,437.,Frank Thomas (25),2.757,1954,R
439,440.,Gary Pettis (31),2.756,1989,R
440,441.,Brett Butler (29),2.755,1986,L
441,441.,Delino DeShields (25),2.755,2018,R
442,441.,Ramon Laureano (25),2.755,2020,R
443,441.,Melvin Upton Jr. (23),2.755,2008,R
444,441.,Devon White (31),2.755,1994,R
445,441.,Cy Williams (32),2.755,1920,L
446,447.,Earle Combs+ (26),2.754,1925,R
447,448.,David DeJesus (24),2.753,2004,L
448,448.,Adam Jones (26),2.753,2012,R
449,448.,Roy Sievers (22),2.753,1949,R
450,451.,Junior Felix (24),2.752,1992,R
451,451.,Willie McGee (27),2.752,1986,R
452,451.,Tillie Walker (27),2.752,1915,R
453,454.,Carlos Beltran (24),2.750,2001,R
454,454.,Dave May (29),2.750,1973,R
455,454.,Omar Moreno (25),2.750,1978,L
456,454.,Al Simmons+ (33),2.750,1935,R
457,458.,Rich Becker (23),2.748,1995,L
458,458.,Melky Cabrera (22),2.748,2007,L
459,458.,Mule Haas (25),2.748,1929,R
460,458.,Bake McBride (26),2.748,1975,R
461,462.,Joe DiMaggio+ (25),2.746,1940,R
462,462.,Marquis Grissom (24),2.746,1991,R
463,464.,Al Simmons+ (22),2.745,1924,R
464,465.,Bobby Del Greco (19),2.744,1952,R
465,465.,Mickey Hatcher (26),2.744,1981,R
466,465.,Chris Young (26),2.744,2010,R
467,468.,Lloyd Waner+ (21),2.743,1927,R
468,468.,Willie Wilson (29),2.743,1985,R
469,470.,Hi Myers (30),2.741,1919,R
470,470.,Bernie Williams (22),2.741,1991,R
471,472.,Carlos Beltran (25),2.738,2002,R
472,473.,Andy Van Slyke (27),2.737,1988,R
473,474.,Jimmy Welsh (25),2.736,1928,R
474,475.,Pete Whisenant (26),2.735,1956,R
475,476.,Gary Matthews (32),2.733,2007,R
476,476.,Mickey Rivers (25),2.733,1974,L
477,478.,Mike Kreevich (30),2.732,1938,R
478,478.,Eddie Milner (29),2.732,1984,L
479,478.,Luis Robert (22),2.732,2020,R
480,478.,Tris Speaker+ (29),2.732,1917,L
481,482.,Sam Chapman (25),2.731,1941,R
482,482.,Ken Griffey Jr.+ (30),2.731,2000,L
483,482.,Larry Hisle (26),2.731,1973,R
484,485.,Bill North (32),2.730,1980,R
485,485.,Ken Williams (23),2.730,1987,R
486,487.,Jim Delsing (27),2.729,1953,R
487,487.,Andrew McCutchen (24),2.729,2011,R
488,489.,Eddie Brown (32),2.728,1924,R
489,490.,Fred Lynn (27),2.727,1979,L
490,490.,Alex Rios (29),2.727,2010,R
491,492.,Tris Speaker+ (34),2.725,1922,L
492,493.,Colby Rasmus (27),2.724,2014,L
493,494.,Derek Bell (24),2.723,1993,R
494,494.,Mike Cameron (29),2.723,2002,R
495,494.,Andruw Jones (21),2.723,1998,R
496,494.,Sherry Magee (30),2.723,1915,R
497,498.,Lee Mazzilli (23),2.722,1978,R
498,499.,Carlos Beltran (29),2.721,2006,R
499,499.,Mike Devereaux (27),2.721,1990,R
