,Rank,Player (age that year),Adj. Pitching Wins,Year,Throws
112,113.,Randy Johnson+ (33),5.52,1997,L
113,114.,Theodore Breitenstein (24),5.50,1893,L
114,115.,Ed Reulbach (22),5.49,1905,R
115,116.,Mordecai Brown+ (29),5.48,1906,R
116,117.,Pink Hawley (22),5.46,1895,R
117,117.,Sandy Koufax+ (29),5.46,1965,L
118,117.,Jack Taylor (28),5.46,1902,R
119,120.,Eddie Cicotte (35),5.45,1919,R
120,120.,Randy Johnson+ (36),5.45,2000,L
121,122.,Steve Carlton+ (35),5.44,1980,L
122,122.,Lefty Grove+ (35),5.44,1935,L
123,124.,Kevin Appier (25),5.43,1993,R
124,124.,Bret Saberhagen (25),5.43,1989,R
125,126.,Lady Baldwin (27),5.42,1886,L
126,126.,Bob Feller+ (20),5.42,1939,R
127,128.,Sandy Koufax+ (27),5.41,1963,L
128,129.,Eddie Cicotte (33),5.40,1917,R
129,129.,Ed Morris (23),5.40,1886,L
130,131.,Mort Cooper (29),5.38,1942,R
131,132.,Corey Kluber (31),5.37,2017,R
132,132.,Justin Verlander (36),5.37,2019,R
133,134.,Clayton Kershaw (25),5.36,2013,L
134,135.,Jim Devlin (27),5.35,1876,R
135,136.,Mordecai Brown+ (32),5.33,1909,R
136,136.,Jack Coombs (27),5.33,1910,R
137,136.,Mel Parnell (27),5.33,1949,L
138,139.,Ed Seward (21),5.30,1888,R
139,140.,Johnny Antonelli (24),5.29,1954,L
140,140.,Dizzy Dean+ (24),5.29,1934,R
141,140.,Christy Mathewson+ (27),5.29,1908,R
142,143.,Charlie Ferguson (23),5.27,1886,R
143,143.,Kid Nichols+ (25),5.27,1895,R
144,145.,Bill Hutchison (30),5.26,1890,R
145,146.,Harry Brecheen (33),5.25,1948,L
146,146.,Dick Ellsworth (23),5.25,1963,L
147,146.,Ed Walsh+ (29),5.25,1910,R
148,149.,Dutch Leonard (22),5.23,1914,L
149,149.,Tony Mullane (24),5.23,1883,R
150,149.,Justin Verlander (28),5.23,2011,R
151,152.,Roger Clemens (23),5.22,1986,R
152,153.,Cy Falkenberg (34),5.20,1914,R
153,154.,Bert Blyleven+ (22),5.17,1973,R
154,154.,Roger Clemens (24),5.17,1987,R
155,154.,Roger Clemens (35),5.17,1998,R
156,157.,Walter Johnson+ (22),5.16,1910,R
157,158.,Derek Lowe (29),5.14,2002,R
158,159.,Bill Hoffer (24),5.13,1895,R
159,160.,Cy Young+ (27),5.12,1894,R
160,161.,Ewell Blackwell (24),5.11,1947,R
161,161.,Ed Walsh+ (31),5.11,1912,R
162,161.,Cy Young+ (29),5.11,1896,R
163,164.,Pedro Martinez+ (31),5.10,2003,R
164,165.,Pat Hentgen (27),5.08,1996,R
165,165.,Greg Maddux+ (26),5.08,1992,R
166,167.,Phil Niekro+ (35),5.07,1974,R
167,167.,Jim Palmer+ (27),5.07,1973,R
168,169.,Jack Chesbro+ (30),5.06,1904,R
169,170.,Spud Chandler (35),5.05,1943,R
170,170.,Gerrit Cole (28),5.05,2019,R
171,170.,Curt Schilling (34),5.05,2001,R
172,170.,Bucky Walters (31),5.05,1940,R
173,174.,Red Faber+ (33),5.04,1922,R
174,174.,Dave Stieb (27),5.04,1985,R
175,176.,Mike Scott (31),5.03,1986,R
176,177.,Lefty Grove+ (37),5.01,1937,L
177,177.,Jim McCormick (27),5.01,1884,R
178,179.,Nig Cuppy (26),5.00,1896,R
179,179.,Greg Maddux+ (27),5.00,1993,R
180,179.,Blake Snell (25),5.00,2018,L
181,182.,Jimmy Key (26),4.99,1987,L
182,182.,Luis Tiant (27),4.99,1968,R
183,184.,Mike Caldwell (29),4.98,1978,L
184,184.,Jim Devlin (28),4.98,1877,R
185,184.,Christy Mathewson+ (28),4.98,1909,R
186,184.,Amos Rusie+ (26),4.98,1897,R
187,188.,Juan Marichal+ (31),4.97,1969,R
188,188.,Billy Pierce (28),4.97,1955,L
189,190.,Roger Clemens (28),4.96,1991,R
190,190.,Roy Halladay+ (33),4.96,2010,R
191,190.,Tom Seaver+ (24),4.96,1969,R
192,193.,Dave Davenport (25),4.95,1915,R
193,193.,Tim Keefe+ (31),4.95,1888,R
194,193.,Joe McGinnity+ (32),4.95,1903,R
195,196.,Lon Warneke (23),4.93,1932,R
196,197.,Jim Bunning+ (34),4.92,1966,R
197,198.,Jose Rijo (28),4.91,1993,R
198,199.,Pedro Martinez+ (30),4.90,2002,R
199,200.,Randy Johnson+ (40),4.89,2004,L
200,201.,George Bradley (23),4.87,1876,R
201,201.,Kevin Brown (33),4.87,1998,R
202,201.,Jason Schmidt (30),4.87,2003,R
203,204.,Doc McJames (23),4.86,1898,R
204,204.,Rube Waddell+ (25),4.86,1902,L
205,206.,Hal Newhouser+ (23),4.85,1944,L
206,207.,Dan Casey (24),4.84,1887,L
207,207.,Ice Box Chamberlain (21),4.84,1889,R
208,207.,Andy Messersmith (29),4.84,1975,R
209,207.,Early Wynn+ (36),4.84,1956,R
210,211.,Bill Hands (29),4.82,1969,R
211,212.,Stan Coveleski+ (30),4.81,1920,R
212,212.,Mel Harder (24),4.81,1934,R
213,212.,Bobby Shantz (26),4.81,1952,L
