,Rank,Player (age that year),Bases On Balls per 9 IP,Year,Throws
455,456.,Bob Bruce (31),1.4679,1964,R
456,457.,Bill Gullickson (25),1.4691,1984,R
457,458.,Bob Friend (29),1.4692,1960,R
458,459.,Blondie Purcell (26),1.4694,1880,R
459,460.,Doc White (32),1.4697,1911,L
460,461.,Eppa Rixey+ (34),1.4722,1925,L
461,462.,Bill Bernhard (31),1.4735,1902,R
462,463.,Bob Friend (32),1.4739,1963,R
463,464.,Urban Shocker (31),1.4741,1922,R
464,465.,Red Lucas (29),1.4748,1931,R
465,466.,Bret Saberhagen (25),1.4752,1989,R
466,467.,Kevin Tapani (27),1.4754,1991,R
467,468.,Danny Darwin (40),1.4757,1996,R
468,469.,Fred Corey (26),1.4788,1881,R
469,470.,Don Drysdale+ (29),1.4799,1966,R
470,471.,Sherry Smith (35),1.4814,1926,L
471,472.,Waite Hoyt+ (35),1.4817,1935,R
472,473.,Fergie Jenkins+ (35),1.4819,1978,R
473,474.,René Arocha (29),1.4840,1993,R
474,474.,Bill Swift (25),1.4840,1933,R
475,476.,Brandon McCarthy (30),1.4850,2014,R
476,477.,Ed Walsh+ (29),1.4851,1910,R
477,478.,Cy Young+ (43),1.4878,1910,R
478,479.,Bob Bruce (32),1.4891,1965,R
479,480.,Bill Long (27),1.4911,1987,R
480,481.,Dan Haren (28),1.4913,2009,R
481,482.,Bret Saberhagen (34),1.4914,1998,R
482,483.,Russ Ford (31),1.4919,1914,R
483,484.,Mike Caldwell (30),1.4936,1979,L
484,485.,Mark Buehrle (36),1.4950,2015,L
485,485.,Don Newcombe (31),1.4950,1957,R
486,487.,Jim Whitney (30),1.4954,1888,R
487,488.,Walter Johnson+ (27),1.4970,1915,R
488,488.,Robin Roberts+ (27),1.4970,1954,R
489,490.,Paul Byrd (31),1.4978,2002,R
490,490.,Steve Kline (23),1.4978,1971,R
491,492.,Vern Law (34),1.5000,1964,R
492,492.,John Valentine (27),1.5000,1883,
493,494.,Bartolo Colon (43),1.5026,2016,R
494,495.,Fred Heimach (31),1.5030,1932,L
495,496.,Art Nehf (24),1.5043,1917,L
496,497.,Dizzy Dean+ (27),1.5051,1937,R
497,498.,Ken Raffensberger (32),1.5063,1950,L
498,499.,Carl Pavano (34),1.5068,2010,R
499,500.,James Shields (25),1.5070,2007,R
