,Rank,Player (age that year),Championship WPA (cWPA),Year,Throws
465,466.,Bret Saberhagen (25),6.72,1989,R
466,467.,Tiny Bonham (28),6.71,1942,R
467,467.,Zack Britton (28),6.71,2016,L
468,467.,Schoolboy Rowe (25),6.71,1935,R
469,467.,Dave Stieb (27),6.71,1985,R
470,471.,Fred Toney (32),6.70,1921,R
471,472.,Curt Simmons (21),6.69,1950,L
472,473.,Johnny Podres (26),6.66,1959,L
473,473.,Pedro Ramos (29),6.66,1964,R
474,475.,Don Drysdale+ (28),6.65,1965,R
475,475.,Gregg Olson (22),6.65,1989,R
476,477.,Mike Garcia (25),6.64,1949,R
477,477.,Dizzy Trout (35),6.64,1950,R
478,479.,Juan Guzman (25),6.63,1992,R
479,480.,Pete Donohue (22),6.60,1923,R
480,480.,Roy Face (34),6.60,1962,R
481,480.,Ron Perranoski (33),6.60,1969,L
482,480.,Lefty Stewart (32),6.60,1933,L
483,484.,Ralph Terry (24),6.59,1960,R
484,485.,Mike Garcia (27),6.58,1951,R
485,486.,Don McMahon (28),6.57,1958,R
486,487.,Firpo Marberry (25),6.56,1924,R
487,487.,Pete Mikkelsen (24),6.56,1964,R
488,489.,Kevin Appier (25),6.55,1993,R
489,489.,Bill Stafford (21),6.55,1960,R
490,491.,Don Bessent (25),6.54,1956,R
491,492.,Luis Aloma (28),6.53,1951,R
492,492.,Warren Spahn+ (38),6.53,1959,L
493,494.,Greg McMichael (26),6.52,1993,R
494,495.,Rex Barney (23),6.50,1948,R
495,496.,Trevor Hoffman+ (28),6.49,1996,R
496,497.,Early Wynn+ (39),6.48,1959,R
497,498.,George Earnshaw (29),6.47,1929,R
498,498.,Lefty Grove+ (32),6.47,1932,L
499,498.,Roger McDowell (24),6.47,1985,R
