,Rank,Player (age that year),Situ. Wins Added (WPA/LI),Year,Bats
416,416.,Don Hurst (26),5.10,1932,L
417,416.,Reggie Jackson+ (27),5.10,1973,L
418,416.,Harmon Killebrew+ (34),5.10,1970,R
419,416.,Stan Musial+ (28),5.10,1949,L
420,421.,Jim Edmonds (30),5.09,2000,L
421,421.,Charlie Gehringer+ (31),5.09,1934,L
422,421.,Vladimir Guerrero+ (23),5.09,1998,R
423,421.,Eddie Mathews+ (21),5.09,1953,L
424,425.,Jeff Kent (32),5.08,2000,R
425,425.,Eddie Mathews+ (29),5.08,1961,L
426,425.,Tony Oliva (25),5.08,1964,L
427,428.,Minnie Minoso (28),5.07,1954,R
428,429.,Albert Belle (28),5.06,1995,R
429,429.,Joe Mauer (26),5.06,2009,L
430,429.,Jim Thome+ (35),5.06,2006,L
431,432.,Roger Maris (25),5.05,1960,L
432,432.,Dave Winfield+ (27),5.05,1979,R
433,434.,Lance Berkman (32),5.04,2008,B
434,434.,Joe DiMaggio+ (24),5.04,1939,R
435,434.,Sixto Lezcano (25),5.04,1979,R
436,434.,J.D. Martinez (30),5.04,2018,R
437,434.,Ryne Sandberg+ (32),5.04,1992,R
438,434.,Ted Williams+ (39),5.04,1958,L
439,440.,Jim Wynn (26),5.03,1968,R
440,441.,Cecil Fielder (26),5.01,1990,R
441,441.,Reggie Jackson+ (34),5.01,1980,L
442,441.,Tris Speaker+ (34),5.01,1922,L
443,441.,Rusty Staub (26),5.01,1970,L
444,441.,Bill White (29),5.01,1963,L
445,446.,Frank Robinson+ (24),5.00,1960,R
446,446.,Jackie Robinson+ (33),5.00,1952,R
447,448.,Roberto Clemente+ (31),4.99,1966,R
448,448.,Jimmie Foxx+ (22),4.99,1930,R
449,448.,Al Kaline+ (20),4.99,1955,R
450,451.,John Mayberry (26),4.98,1975,L
451,452.,Jeff Burroughs (23),4.97,1974,R
452,452.,Greg Luzinski (26),4.97,1977,R
453,452.,Fred McGriff (28),4.97,1992,L
454,455.,Jason Bay (29),4.96,2008,R
455,455.,Dwight Evans (32),4.96,1984,R
456,455.,Andres Galarraga (37),4.96,1998,R
457,458.,Shin-Soo Choo (30),4.95,2013,L
458,458.,Paul Goldschmidt (30),4.95,2018,R
459,458.,Andrew McCutchen (27),4.95,2014,R
460,458.,Mike Schmidt+ (24),4.95,1974,R
461,458.,Mo Vaughn (29),4.95,1997,L
462,458.,Joey Votto (25),4.95,2009,L
463,464.,Hanley Ramirez (25),4.94,2009,R
464,465.,Wally Berger (27),4.93,1933,R
465,465.,Jim Edmonds (32),4.93,2002,L
466,467.,Travis Hafner (29),4.92,2006,L
467,467.,Edgar Martinez+ (37),4.92,2000,R
468,467.,Dave Parker (28),4.92,1979,L
469,467.,Buster Posey (25),4.92,2012,R
470,467.,Mike Schmidt+ (29),4.92,1979,R
471,472.,Jeff Bagwell+ (33),4.91,2001,R
472,472.,Todd Helton (28),4.91,2002,L
473,472.,Melvin Mora (32),4.91,2004,R
474,475.,Dolph Camilli (29),4.90,1936,L
475,475.,Ken Caminiti (33),4.90,1996,B
476,475.,Joe DiMaggio+ (33),4.90,1948,R
477,475.,Eddie Mathews+ (31),4.90,1963,L
478,475.,Rico Petrocelli (26),4.90,1969,R
479,475.,Mike Piazza+ (26),4.90,1995,R
480,481.,Lou Brock+ (32),4.89,1971,L
481,481.,Josh Donaldson (30),4.89,2016,R
482,481.,Jimmie Foxx+ (28),4.89,1936,R
483,481.,Fred McGriff (26),4.89,1990,L
484,481.,Tim Raines+ (27),4.89,1987,B
485,481.,Larry Walker+ (35),4.89,2002,L
486,487.,Barry Bonds (29),4.88,1994,L
487,488.,Wade Boggs+ (25),4.87,1983,L
488,488.,Jim Bottomley+ (28),4.87,1928,L
489,488.,George Brett+ (26),4.87,1979,L
490,488.,Andrew McCutchen (25),4.87,2012,R
491,488.,Carlos Pena (29),4.87,2007,L
492,493.,Dolph Camilli (32),4.86,1939,L
493,493.,David Ortiz (40),4.86,2016,L
494,493.,Cal Ripken Jr.+ (30),4.86,1991,R
495,493.,Enos Slaughter+ (26),4.86,1942,L
496,497.,Wade Boggs+ (30),4.85,1988,L
497,497.,Cesar Cedeno (22),4.85,1973,R
498,497.,Shawn Green (29),4.85,2002,L
499,497.,Mike Schmidt+ (33),4.85,1983,R
500,497.,Mark Teixeira (28),4.85,2008,B
