,Rank,Player (age that year),AB per SO,Year,Bats
454,453.,Ed McFarland (25),36.00,1899,R
455,453.,Doggie Miller (31),36.00,1896,R
456,453.,Dick Siebert (30),36.00,1942,L
457,458.,Hugh Duffy+ (27),35.93,1894,R
458,458.,Clyde Milan (31),35.93,1918,L
459,458.,Tris Speaker+ (38),35.93,1926,L
460,461.,Charlie Gehringer+ (27),35.88,1930,L
461,462.,Frankie Frisch+ (27),35.86,1925,B
462,463.,Jimmy Brown (29),35.83,1939,B
463,463.,George Davis+ (24),35.83,1895,B
464,465.,Dale Mitchell (26),35.76,1948,L
465,466.,Tris Speaker+ (37),35.75,1925,L
466,467.,John Ward+ (21),35.70,1881,L
467,468.,Cap Anson+ (33),35.69,1885,R
468,469.,Tony Gwynn+ (35),35.67,1995,L
469,470.,Denny Lyons (21),35.63,1887,R
470,471.,George Kell+ (27),35.61,1950,R
471,472.,Charlie Hickman (26),35.60,1902,R
472,473.,Emil Verban (28),35.57,1944,R
473,474.,Red Schoendienst+ (26),35.56,1949,B
474,475.,Harry Steinfeldt (23),35.45,1899,R
475,476.,Jake Beckley+ (35),35.31,1903,L
476,477.,Sam Thompson+ (33),35.29,1893,L
477,478.,Eddie Collins+ (30),35.25,1917,L
478,478.,Mike Smith (32),35.25,1900,L
479,480.,Max Carey+ (34),35.24,1924,B
480,480.,Jimmy Collins+ (29),35.24,1899,R
481,482.,Dale Mitchell (25),35.21,1947,L
482,483.,Steve Brodie (26),35.20,1895,L
483,484.,Vic Power (33),35.19,1961,R
484,485.,John Anderson (23),35.14,1897,B
485,486.,Gene Paulette (29),35.13,1920,R
486,487.,Doc Cramer (36),35.00,1942,L
487,487.,Tommy Griffith (31),35.00,1921,L
488,489.,Bobby Lowe (33),34.94,1899,R
489,490.,Charlie Jamieson (34),34.93,1927,L
490,490.,Ernie Lombardi+ (30),34.93,1938,R
491,492.,Andy High (29),34.91,1927,L
492,493.,Hans Lobert (28),34.89,1910,R
493,494.,Deacon White+ (36),34.77,1884,L
494,495.,Eddie Collins+ (37),34.75,1924,L
495,495.,Emil Verban (32),34.75,1948,R
496,497.,Ty Cobb+ (37),34.72,1924,L
497,498.,Dick Padden (28),34.69,1899,R
498,498.,Sam Thompson+ (34),34.69,1894,L
499,500.,Max Flack (30),34.67,1920,L
500,500.,Nellie Fox+ (25),34.67,1953,L
