,Rank,Player (age that year),Range Factor/9Inn as LF (s.1948),Year,Throws
478,479.,Ken Singleton (29),2.130,1976,R
479,479.,Eric Young Jr. (28),2.130,2013,R
480,479.,Richie Zisk (27),2.130,1976,R
481,482.,Jose Cardenal (32),2.128,1976,R
482,482.,Wes Chamberlain (25),2.128,1991,R
483,482.,Josh Willingham (33),2.128,2012,R
484,485.,Emil Brown (31),2.127,2006,R
485,485.,George Hendrick (26),2.127,1976,R
486,485.,Minnie Minoso (27),2.127,1953,R
487,485.,Lonnie Smith (27),2.127,1983,R
488,489.,Jeff Conine (28),2.126,1994,R
489,490.,Dale Mitchell (30),2.125,1952,L
490,490.,Bob Nieman (30),2.125,1957,R
491,492.,Steve Henderson (24),2.124,1977,R
492,492.,Marcell Ozuna (26),2.124,2017,R
493,492.,Rafael Palmeiro (23),2.124,1988,L
494,492.,Joe Rudi (24),2.124,1971,R
495,496.,Alex Gordon (28),2.123,2012,R
496,496.,Gene Woodling (31),2.123,1954,R
497,498.,Cliff Floyd (32),2.122,2005,R
498,498.,Carl Yastrzemski+ (26),2.122,1966,R
499,500.,Robbie Grossman (29),2.121,2019,L
