,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
416,416.,Carl Crawford (27),2.162,2009,L
417,418.,Augie Galan (32),2.160,1944,R
418,418.,Steve Henderson (26),2.160,1979,R
419,420.,Pat Duncan (28),2.159,1922,R
420,420.,Minnie Minoso (29),2.159,1955,R
421,420.,Babe Ruth+ (31),2.159,1926,L
422,420.,Jim Wohlford (25),2.159,1976,R
423,424.,Sherry Magee (27),2.158,1912,R
424,424.,Bob Nieman (29),2.158,1956,R
425,424.,Tim Raines+ (27),2.158,1987,R
426,427.,Jeff Conine (38),2.157,2004,R
427,427.,Carl Crawford (26),2.157,2008,L
428,429.,Alfonso Soriano (31),2.156,2007,R
429,430.,Jose Cruz (28),2.155,1976,L
430,430.,Ralph Garr (29),2.155,1975,R
431,430.,Dan Gladden (31),2.155,1989,R
432,430.,Raul Ibanez (32),2.155,2004,R
433,434.,Mitchell Page (25),2.153,1977,R
434,435.,Coco Crisp (25),2.152,2005,R
435,436.,Adam Comorosky (24),2.151,1929,R
436,436.,Kirk Gibson (30),2.151,1987,L
437,436.,Johnny Mokan (28),2.151,1924,R
438,436.,Zack Wheat+ (36),2.151,1924,R
439,440.,Ralph Garr (25),2.150,1971,R
440,440.,Justin Upton (30),2.150,2018,R
441,442.,Rube Ellis (25),2.149,1911,L
442,442.,Jack Graney (30),2.149,1916,L
443,444.,Morrie Arnovich (26),2.146,1937,R
444,444.,Jose Canseco (22),2.146,1987,R
445,444.,Bobby Veach (36),2.146,1924,R
446,447.,Joe Medwick+ (29),2.145,1941,R
447,447.,Zack Wheat+ (34),2.145,1922,R
448,449.,George Foster (34),2.144,1983,R
449,449.,Carl Yastrzemski+ (22),2.144,1962,R
450,451.,Dave Barbee (27),2.143,1932,R
451,451.,Tim Raines+ (31),2.143,1991,R
452,453.,Joe Adcock (23),2.142,1951,R
453,453.,George Bell (30),2.142,1990,R
454,453.,Phil Plantier (24),2.142,1993,R
455,456.,Gil Coan (30),2.141,1952,R
456,456.,Lou Piniella (30),2.141,1974,R
457,458.,Jack Graney (29),2.140,1915,L
458,458.,Charlie Jamieson (29),2.140,1922,L
459,458.,Charlie Jamieson (33),2.140,1926,L
460,458.,Steve Kemp (23),2.140,1978,L
461,462.,John Briggs (29),2.139,1973,L
462,462.,George Foster (32),2.139,1981,R
463,462.,Goose Goslin+ (30),2.139,1931,R
464,465.,Woody Jensen (28),2.138,1936,L
465,465.,Ralph Kiner+ (28),2.138,1951,R
