,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
72,73.,Mike Cuellar (32),5.34,1969,L
73,73.,Justin Verlander (36),5.34,2019,R
74,73.,Bucky Walters (30),5.34,1939,R
75,76.,Roger Clemens (28),5.30,1991,R
76,77.,Stan Coveleski+ (27),5.29,1917,R
77,77.,Mike Norris (25),5.29,1980,R
78,79.,Roger Clemens (23),5.28,1986,R
79,80.,Greg Maddux+ (30),5.27,1996,R
80,81.,Roger Clemens (35),5.25,1998,R
81,81.,Roger Clemens (42),5.25,2005,R
82,81.,Hal Newhouser+ (25),5.25,1946,L
83,84.,Pete Alexander+ (29),5.24,1916,R
84,84.,Jim Turner (33),5.24,1937,R
85,86.,Randy Johnson+ (35),5.23,1999,L
86,86.,Clayton Kershaw (26),5.23,2014,L
87,88.,Fergie Jenkins+ (27),5.19,1970,R
88,88.,Luis Tiant (27),5.19,1968,R
89,90.,Dick Ellsworth (23),5.17,1963,L
90,91.,Gerrit Cole (28),5.15,2019,R
91,91.,Dizzy Dean+ (25),5.15,1935,R
92,91.,Tom Seaver+ (32),5.15,1977,R
93,91.,Wilbur Wood (29),5.15,1971,L
94,95.,Mort Cooper (30),5.14,1943,R
95,95.,Zack Greinke (25),5.14,2009,R
96,97.,Jason Schmidt (30),5.11,2003,R
97,98.,Lefty Grove+ (35),5.08,1935,L
98,99.,Bob Lemon+ (28),5.07,1949,R
99,100.,Greg Maddux+ (26),5.06,1992,R
100,100.,Johan Santana (27),5.06,2006,L
101,102.,Robin Roberts+ (26),5.05,1953,R
102,103.,Dolf Luque (34),5.02,1925,R
103,103.,Pedro Martinez+ (30),5.02,2002,R
104,105.,Hank Aguirre (31),5.01,1962,L
105,106.,Jim Palmer+ (27),5.00,1973,R
106,107.,Jacob deGrom (31),4.99,2019,R
107,108.,Clayton Kershaw (28),4.98,2016,L
108,109.,Babe Adams (37),4.97,1919,R
109,110.,Andy Messersmith (29),4.96,1975,R
110,111.,Max Scherzer (33),4.95,2018,R
111,112.,Harry Brecheen (33),4.94,1948,L
112,112.,Bob Gibson+ (34),4.94,1970,R
113,114.,Roy Halladay+ (31),4.93,2008,R
114,114.,Frank Tanana (22),4.93,1976,L
115,116.,Dizzy Dean+ (24),4.92,1934,R
116,117.,Red Faber+ (32),4.90,1921,R
117,117.,Greg Maddux+ (34),4.90,2000,R
118,119.,Bob Feller+ (27),4.89,1946,R
119,119.,Early Wynn+ (36),4.89,1956,R
120,121.,Denny McLain (25),4.88,1969,R
121,122.,Paul Derringer (33),4.87,1940,R
122,122.,Jesse Haines+ (33),4.87,1927,R
123,124.,Jim Bagby (30),4.86,1920,R
124,124.,Randy Johnson+ (36),4.86,2000,L
125,126.,Mike Caldwell (29),4.85,1978,L
126,127.,Jacob deGrom (30),4.84,2018,R
127,127.,Cliff Melton (25),4.84,1937,L
128,129.,Felix Hernandez (28),4.83,2014,R
129,130.,Kevin Brown (34),4.82,1999,R
130,130.,Roger Clemens (27),4.82,1990,R
131,130.,Joe Horlen (26),4.82,1964,R
132,130.,Kevin Millwood (24),4.82,1999,R
133,130.,Virgil Trucks (32),4.82,1949,R
134,135.,Tim Hudson (27),4.81,2003,R
135,136.,Gaylord Perry+ (33),4.80,1972,R
