,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
326,326.,Tom Seaver+ (30),2.348,1975,R
327,326.,Don Sutton+ (36),2.348,1981,R
328,329.,Bobby Mitchell (21),2.349,1877,L
329,330.,Billy Campbell (34),2.350,1908,L
330,331.,Tricky Nichols (27),2.352,1878,R
331,331.,Lefty Williams (23),2.352,1916,L
332,333.,Vic Willis+ (30),2.353,1906,R
333,334.,Tommy Bond (24),2.354,1880,R
334,334.,Jack Chesbro+ (34),2.354,1908,R
335,336.,Cy Young+ (36),2.355,1903,R
336,337.,Wilbur Cooper (25),2.356,1917,L
337,337.,Denny Driscoll (26),2.356,1882,L
338,339.,Phil Douglas (28),2.359,1918,R
339,340.,Dutch Leonard (24),2.360,1916,L
340,341.,Dick Rudolph (30),2.361,1918,R
341,341.,Hippo Vaughn (31),2.361,1919,L
342,343.,Dock Ellis (27),2.362,1972,R
343,344.,Bill Bernhard (35),2.364,1906,R
344,344.,Claude Hendrix (29),2.364,1918,R
345,344.,Juan Marichal+ (30),2.364,1968,R
346,344.,Joe McGinnity+ (36),2.364,1907,R
347,344.,Bob Ojeda (30),2.364,1988,L
348,349.,Jack Pfiester (31),2.365,1909,L
349,350.,Eddie Cicotte (30),2.367,1914,R
350,351.,Frank Miller (31),2.369,1917,R
351,351.,Earl Moore (25),2.369,1903,R
352,351.,Al Orth (34),2.369,1907,R
353,351.,Charlie Smith (28),2.369,1908,R
354,355.,Harry Brecheen (33),2.370,1948,L
355,355.,George McQuillan (24),2.370,1909,R
356,357.,Howie Camnitz (26),2.371,1908,R
357,357.,Jim Maloney (23),2.371,1963,R
358,357.,Reb Russell (25),2.371,1914,L
359,360.,Bert Blyleven+ (23),2.372,1974,R
360,360.,Tom Hughes (32),2.372,1916,R
361,360.,Jim Whitney (26),2.372,1884,R
362,363.,Addie Joss+ (25),2.378,1905,R
363,364.,Harry Howell (27),2.379,1904,R
364,364.,Silver King (20),2.379,1888,R
365,366.,Fergie Jenkins+ (28),2.380,1971,R
366,367.,Phil Douglas (27),2.381,1917,R
367,367.,Al Spalding+ (25),2.381,1876,R
368,369.,Joe Nuxhall (34),2.382,1963,L
369,370.,James Burke,2.383,1884,
370,371.,Charlie Chech (30),2.385,1908,R
371,372.,Clayton Kershaw (25),2.387,2013,L
372,372.,Mike Paul (27),2.387,1972,L
373,374.,Louis Drucke (21),2.388,1910,R
374,374.,Pedro Martinez+ (25),2.388,1997,R
375,374.,Ed Reulbach (24),2.388,1907,R
376,377.,Dory Dean (23),2.389,1876,R
377,378.,Hooks Wiltse (27),2.390,1907,L
378,379.,Juan Marichal+ (31),2.392,1969,R
379,380.,Dean Chance (23),2.393,1964,R
380,380.,Curry Foley (23),2.393,1879,L
381,380.,Greg Maddux+ (28),2.393,1994,R
382,383.,Anibal Sanchez (29),2.394,2013,R
383,384.,Curt Schilling (35),2.395,2002,R
384,385.,Old Hoss Radbourn+ (27),2.397,1882,R
385,386.,Babe Adams (31),2.398,1913,R
386,386.,Bill Dinneen (28),2.398,1904,R
387,388.,Frank Corridon (27),2.399,1908,R
388,388.,Cherokee Fisher (31),2.399,1876,R
389,388.,Frank Smith (24),2.399,1904,R
390,391.,Foghorn Bradley (20),2.400,1876,R
391,392.,Jim Shaw (24),2.401,1918,R
392,393.,Ed Cushman (33),2.403,1885,L
393,393.,Hod Eller (24),2.403,1919,R
394,393.,Jake Thielman (28),2.403,1907,R
395,393.,Hooks Wiltse (29),2.403,1909,L
396,397.,Hal Carlson (25),2.405,1917,R
397,397.,Turk Farrell (29),2.405,1963,R
398,399.,Ed Morris (21),2.406,1884,L
399,399.,Vic Willis+ (31),2.406,1907,R
400,401.,Fred Glade (31),2.408,1907,R
401,402.,Irv Young (30),2.410,1908,L
402,403.,Steve Carlton+ (37),2.413,1982,L
403,403.,Wheezer Dell (30),2.413,1916,R
404,403.,Bill Donovan (30),2.413,1907,R
405,403.,Harry Salisbury (24),2.413,1879,
406,407.,Andy Coakley (22),2.415,1905,R
407,407.,Hod Eller (23),2.415,1918,R
408,407.,Josh Johnson (26),2.415,2010,R
409,407.,George Mullin (26),2.415,1907,R
410,407.,Bob Steele (23),2.415,1917,L
411,412.,Al Downing (22),2.416,1963,L
412,412.,Jon Matlack (24),2.416,1974,L
413,414.,Ed Klepfer (29),2.417,1917,R
414,415.,Jack Powell (32),2.419,1907,R
415,415.,Ron Reed (32),2.419,1975,R
416,415.,Doc White (23),2.419,1902,L
417,418.,Steve Carlton+ (35),2.420,1980,L
418,419.,Mario Soto (25),2.422,1982,R
419,420.,Bill Bailey (21),2.423,1909,L
420,420.,Tex Hughson (30),2.423,1946,R
421,422.,Fred Toney (28),2.424,1917,R
422,422.,Lefty Tyler (26),2.424,1916,L
423,424.,Harry Howell (28),2.425,1905,R
424,424.,Deacon Phillippe (31),2.425,1903,R
425,426.,Red Faber+ (26),2.426,1915,R
426,426.,Greg Maddux+ (31),2.426,1997,R
427,428.,Burleigh Grimes+ (24),2.427,1918,R
428,429.,George Derby (23),2.429,1881,R
429,430.,Bobby Mathews (24),2.431,1876,R
430,430.,Dupee Shaw (25),2.431,1884,L
431,432.,Steve Carlton+ (23),2.432,1968,L
432,433.,Babe Ruth+ (21),2.433,1916,L
433,434.,Fred Anderson (29),2.434,1915,R
434,434.,Bob Moose (24),2.434,1972,R
435,436.,Nick Altrock (27),2.435,1904,L
436,436.,Cy Falkenberg (26),2.435,1906,R
437,438.,Trevor Bauer (27),2.436,2018,R
438,438.,Stan Coveleski+ (29),2.436,1919,R
439,440.,Bob Ewing (36),2.437,1909,R
440,440.,Marty McHale (27),2.437,1914,R
441,442.,Bob Moose (21),2.438,1969,R
442,443.,Fernando Valenzuela (20),2.439,1981,L
443,444.,Christy Mathewson+ (30),2.441,1911,R
444,445.,Camilo Pascual (25),2.442,1959,R
445,446.,Red Ames (33),2.443,1916,R
446,446.,Dwight Gooden (25),2.443,1990,R
447,448.,Fred Anderson (30),2.444,1916,R
448,448.,Stump Weidman (19),2.444,1880,R
449,450.,Jim Scott (21),2.445,1909,R
450,450.,Ray Washburn (30),2.445,1968,R
451,452.,Hal Newhouser+ (24),2.446,1945,L
452,453.,Al Orth (31),2.447,1904,R
453,454.,Max Scherzer (34),2.448,2019,R
454,455.,Bret Saberhagen (25),2.450,1989,R
455,456.,Whitey Ford+ (35),2.454,1964,L
456,456.,Christy Mathewson+ (25),2.454,1906,R
457,456.,Chris Sale (28),2.454,2017,L
458,459.,Jim O'Toole (27),2.455,1964,L
459,460.,Stan Coveleski+ (27),2.456,1917,R
460,460.,Fergie Jenkins+ (25),2.456,1968,R
461,462.,Len Barker (25),2.458,1981,R
462,462.,Glenn Liebhardt (24),2.458,1907,R
463,464.,Cy Falkenberg (33),2.459,1913,R
464,464.,Ed Reulbach (22),2.459,1905,R
465,466.,Hugh Bedient (23),2.461,1913,R
466,466.,Noodles Hahn (23),2.461,1902,L
