,Rank,Player (age that year),At Bats,Year,Bats
472,459.,Tony Oliva (30),637,1969,L
473,459.,Ivy Olson (34),637,1920,R
474,459.,Dave Parker (26),637,1977,L
475,459.,Dave Parker (35),637,1986,L
476,459.,Alexei Ramírez (31),637,2013,R
477,459.,Cal Ripken Jr.+ (31),637,1992,R
478,459.,Jimmy Rollins (23),637,2002,B
479,459.,Jean Segura (26),637,2016,R
480,459.,Alfonso Soriano (29),637,2005,R
481,459.,Jack Tobin (31),637,1923,L
482,459.,Bobby Tolan (23),637,1969,L
483,459.,Fernando Vina (29),637,1998,L
484,485.,Tommie Agee (27),636,1970,R
485,485.,Rich Aurilia (29),636,2001,R
486,485.,Bill Bruton (29),636,1955,L
487,485.,Starlin Castro (29),636,2019,R
488,485.,Vince Coleman (23),636,1985,B
489,485.,Ivan de Jesus (26),636,1979,R
490,485.,Eduardo Escobar (30),636,2019,B
491,485.,Nellie Fox+ (27),636,1955,L
492,485.,Julio Franco (26),636,1985,R
493,485.,Rafael Furcal (24),636,2002,B
494,485.,Alex Gonzalez (28),636,2001,R
495,485.,Dick Groat (33),636,1964,R
496,485.,Matt Holliday (27),636,2007,R
497,485.,Tommy Holmes (28),636,1945,L
498,485.,Dummy Hoy (37),636,1899,L
499,485.,Aubrey Huff (26),636,2003,L
500,485.,Joe Medwick+ (24),636,1936,R
501,485.,Paul Molitor+ (36),636,1993,R
502,485.,Jorge Orta (25),636,1976,L
503,485.,Jerry Remy (29),636,1982,L
504,485.,Ryne Sandberg+ (24),636,1984,R
505,485.,George Sisler+ (31),636,1924,L
506,485.,Miguel Tejada (29),636,2003,R
507,485.,Miguel Tejada (36),636,2010,R
508,485.,Bill Wambsganss (30),636,1924,R
509,485.,Devon White (26),636,1989,B
510,485.,Billy Williams+ (32),636,1970,L
