,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
455,455.,Reddy Mack (22),5.888,1888,
456,457.,Julio Cruz (25),5.887,1980,R
457,458.,Bill Greenwood (33),5.885,1890,L
458,458.,Ed Merrill (24),5.885,1884,
459,460.,Lou Bierbauer (21),5.884,1887,R
460,460.,Lou Chiozza (24),5.884,1934,R
461,462.,Chub Collins (26),5.882,1884,R
462,463.,John Farrell (26),5.881,1903,R
463,463.,Bill Mazeroski+ (29),5.881,1966,R
464,463.,Dasher Troy (27),5.881,1883,R
465,466.,Larry Schlafly (27),5.879,1906,R
466,466.,Charlie Sweasy (30),5.879,1878,R
467,468.,Glenn Hubbard (28),5.877,1986,R
468,468.,Frank White (33),5.877,1984,R
469,470.,Doug Flynn (30),5.876,1981,R
470,471.,Bill McClellan (31),5.874,1887,L
471,471.,Paul Molitor+ (22),5.874,1979,R
472,473.,Bobby Doerr+ (22),5.873,1940,R
473,473.,Frankie Gustine (26),5.873,1946,R
474,475.,Hughie Critz (26),5.872,1927,R
475,475.,Damaso Garcia (23),5.872,1980,R
476,477.,Jackie Robinson+ (32),5.871,1951,R
477,478.,Jerry Lumpe (28),5.870,1961,R
478,478.,Jose Oquendo (27),5.870,1991,R
479,478.,Heinie Reitz (31),5.870,1898,R
480,478.,Billy Ripken (24),5.870,1989,R
481,482.,Don Money (30),5.867,1977,R
482,482.,George Strief (25),5.867,1882,R
483,484.,Jamey Carroll (32),5.865,2006,R
484,484.,Tony Lazzeri+ (28),5.865,1932,R
485,484.,Pokey Reese (29),5.865,2002,R
486,487.,Bobby Avila (29),5.864,1953,R
487,488.,Johnny Berardino (22),5.863,1939,R
488,489.,Jack Farrell (24),5.862,1882,R
489,490.,Manny Trillo (24),5.860,1975,R
490,490.,Fernando Vina (26),5.860,1995,R
491,492.,Sparky Adams (33),5.859,1928,R
492,492.,Tony Lazzeri+ (26),5.859,1930,R
493,494.,Bucky Harris+ (29),5.858,1926,R
494,495.,Frankie Frisch+ (31),5.857,1929,R
495,495.,Bucky Harris+ (24),5.857,1921,R
496,497.,Billy Gardner (31),5.856,1959,R
497,498.,Nellie Fox+ (29),5.855,1957,R
498,499.,Joe Gedeon (24),5.853,1918,R
499,500.,Claude Ritchey (34),5.851,1908,R
